runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries,approach
0.0116674900054931,111694,335930.0,1,1,973,973,973,973,673,254,46,0,0,224236.0,0.0186894544722301,2.007592171468477,2920,12 M
0.0231521129608154,450844,628010.0,7,7,5401,127,889,747,630,52,42,23,0,177166.0,0.0147662993053173,0.3929651941691583,7044,12 M
0.0007376670837402,857547,857547.0,3,1,5,5,5,4,0,0,0,0,4,0.0,0.0,0.0,17,12 M
0.0096151828765869,779538,998165.0,1,1,937,937,937,937,673,254,6,4,0,218627.0,0.0182219597339422,0.2804571425639289,2812,12 M
0.0693461894989013,1845855,3315310.0,1,1,21581,6664,6664,6664,4024,2292,348,0,0,1469455.0,0.1224750366644562,0.7960836577087582,34910,12 M
0.0483510494232177,1379277,2481789.0,1,1,17802,4458,4458,4458,4249,10,183,16,0,1102512.0,0.0918913458547577,0.799340524057169,26719,12 M
0.0104880332946777,780137,1003157.0,1,1,973,973,973,973,673,254,46,0,0,223020.0,0.0185881042134036,0.2858728659197038,2920,12 M
0.0282361507415771,387127,454826.0,1,1,8257,281,281,281,240,28,6,7,0,67699.0,0.0056425256351143,0.1748754284769597,8820,12 M
0.5406079292297363,716697,7236176.0,7,7,123387,16063,112441,38682,7922,19049,11375,336,0,6519479.0,0.5433806612370933,9.096562424567146,274517,12 M
0.035459280014038,95397,159285.0,1,1,17549,334,334,312,204,11,83,14,0,63888.0,0.0053248892565058,0.6697065945469983,18196,12 M
0.024510383605957,2629035,2650777.0,1,1,5497,104,104,104,60,21,18,5,0,21742.0,0.0018121359600386,0.008269954565078,5706,12 M
0.0014610290527343,427734,429202.0,1,1,13,13,13,13,1,5,3,4,0,1468.0,0.0001223537664123,0.0034320395385917,40,12 M
0.0272762775421142,543837,571514.0,1,1,425,204,204,204,0,0,0,204,0,27677.0,0.0023068019025843,0.0508920871511132,834,12 M
0.053049087524414,1226755,2347863.0,1,1,17998,4542,4542,4542,4287,51,190,14,0,1121108.0,0.0934412713589836,0.913880929770003,27083,12 M
0.0016250610351562,392691,396260.0,3,3,13,13,39,31,2,12,8,9,0,3569.0,0.000297466343546,0.0090885709119893,86,12 M
0.0016498565673828,2999653,3002241.0,1,1,17,17,17,17,6,4,3,4,0,2588.0,0.0002157026890157,0.0008627664599872,52,12 M
0.0007455348968505,3120918,3121500.0,1,1,4,4,4,4,1,2,0,1,0,582.0,4.8508100852842425e-05,0.0001864835923276,13,12 M
0.0746190547943115,729170,1355483.0,1,1,28283,3123,3123,3123,1797,458,800,68,0,626313.0,0.0522014676450967,0.8589396162760399,34530,12 M
0.0216596126556396,508786,488576.0,1,1,450,162,162,162,0,0,0,162,0,20210.0,0.0016844479694775,0.0397220049293809,775,12 M
0.0584938526153564,1800313,2982121.0,1,1,21075,5505,5505,5505,2771,2707,10,17,0,1181808.0,0.098500449575079,0.6564458513602912,32086,12 M
0.0676901340484619,2015537,3289555.0,1,1,21337,6002,6002,6002,3027,2625,350,0,0,1274018.0,0.1061858997119185,0.6320985424728001,33342,12 M
0.0165202617645263,198269,219549.0,1,1,4849,100,100,100,60,21,18,1,0,21280.0,0.0017736295294647,0.1073289319056433,5050,12 M
