estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
1582364157.0,7.9906,-1,1,1,937,932,932,932,668,254,6,4,0,28,1582364129.0,2637.5636803381703,56513004.60714286
800718150.0,0.3455,-1,1,1,13,13,13,13,1,5,3,4,0,25,800718125.0,1334.677022805842,32028725.0
1303362359.0,60.4769,-1,1,1,107198,3454,3454,3454,392,1412,1602,48,0,25,1303362334.0,2172.5095327152653,52134493.36
1266726763.0,0.3423,-1,1,1,17,17,17,17,6,4,3,4,0,25,1266726738.0,2111.443488783766,50669069.52
370199182.0,3.1619,-1,1,1,4849,101,101,101,60,21,15,5,0,25,370199157.0,617.0664723119543,14807966.28
-772627097.0,6.0677,-1,1,1,4849,799,799,799,623,121,49,6,0,25,772627122.0,1287.8535338887277,30905084.88
837458904.0,74.6877,3,1,1,340,153,153,153,0,0,0,153,0,28,837458876.0,1395.918344351212,29909245.57142857
630540000.0,9.331,-1,462,308,13,13,4004,1408,24,404,377,603,0,25,630539975.0,1051.0155700460384,25221599.0
-945595510.0,9.0631,-1,1,1,8353,1077,1077,1077,875,156,40,6,0,25,945595535.0,1576.165936586358,37823821.4
1772510923.0,4.6816,-1,1,1,973,972,972,972,672,254,46,0,0,31,1772510892.0,2954.509816079769,57177770.70967742
1594562194.0,15.6868,-1,1,1,26570,1049,1049,1049,87,94,800,68,0,31,1594562163.0,2657.895973557091,51437489.12903226
1255914023.0,0.2205,-1,1,1,17,17,17,17,6,4,3,4,0,25,1255913998.0,2093.420272896685,50236559.92
-200876394.0,4.6531,-1,1,1,8257,247,247,247,209,28,3,7,0,25,200876419.0,334.83086306160345,8035056.76
1368299589.0,5.9508,-1,1,1,5497,818,818,818,506,276,35,1,0,25,1368299564.0,2280.750155850477,54731982.56
629352062.0,68.1095,3,1,1,288,108,108,108,0,0,0,108,0,26,629352036.0,1049.035453899929,24205847.53846154
-1432500871.0,0.3417,-1,7,7,13,13,91,42,0,7,14,21,0,25,1432500896.0,2387.764147389546,57300035.84
