estimates,runtime,true_sums,absolute_error,normalized_error,relative_error
2942377964.317481,5.1482,2955090956,12712991.682518959,21.1906504424136,0.004302064427731597
1507505486.0004685,2.865,1430917405,76588081.00046849,127.66084436032712,0.053523760863380156
3467114387.173045,2.7448,3509270737,42156349.82695484,70.26831255930625,0.012012851953107898
198629041.41992244,1.4376,196399952,2229089.4199224412,3.7155577445559698,0.01134974523783204
787104634.2834146,0.9711,796960877,9856242.716585398,16.428878370929798,0.012367285523082706
480267234.4780176,0.7615,430142220,50125014.47801763,83.55088139364935,0.11653125907523709
1605337700.4311824,2.1384,1613292009,7954308.5688176155,13.25863939836318,0.004930482841570695
493607990.99129575,0.9608,501671828,8063837.008704245,13.441206880597274,0.016073928330502633
4897539946.652196,2.5367,4948840687,51300740.34780407,85.51064008341596,0.010366213744274462
5546790096.965013,3.1685,5553940074,7149977.03498745,11.917939364975897,0.0012873702164089014
4190479851.448512,3.2429,4129347386,61132465.44851208,101.89865126582603,0.014804389104141134
139336790.24979624,0.9741,145219826,5883035.7502037585,9.806138258881408,0.04051124362457065
1599408475.3141694,1.7163,1599573521,165045.6858305931,0.2751064047555116,0.00010318105649024
5563095466.036796,1.8994,5573778025,10682558.963204384,17.806223623272533,0.001916574164828601
4575879484.054294,1.5776,4622953479,47073994.94570637,78.46528942468066,0.010182666808035678
689272419.8527083,0.9989,690228174,955754.1472916603,1.5930988196895997,0.0013846930381773439
3326295290.6440096,1.6576,3353664871,27369580.35599041,45.62098556839654,0.00816109581868546
2070781872.116701,2.2387,2061295124,9486748.116700888,15.812986289660008,0.0046023240467825835
299425868.40913635,0.8283,309977011,10551142.590863645,17.58717224038585,0.03403846806840668
800445390.7966927,0.7326,813594122,13148731.203307271,21.916962871427977,0.016161290805524368
487678765.87428325,1.7601,508809183,21130417.125716746,35.221236212177914,0.041529158340125216
4371321217.517379,1.8848,4421850291,50529073.48262119,84.22438715362222,0.011427133475202767
3581251970.6755266,2.1935,3528440319,52811651.67552662,88.02910266050368,0.014967420985171726
407634226.7946145,0.8099,422741408,15107181.205385506,25.181405296891835,0.03573622294739934
2893461857.102132,1.8251,2882699719,10762138.102131844,17.938870112598792,0.0037333538527090145
1175468879.4477415,2.1557,1192712392,17243512.55225849,28.742349245514493,0.014457393641516296
1629054600.8992343,1.0652,1606269349,22785251.899234295,37.979597587791815,0.014185199956295932
1344451795.2826114,2.8674,1374767388,30315592.71738863,50.53154633241095,0.022051434287724485
846396885.4535396,0.9507,797715080,48681805.45353961,81.14526840209025,0.061026557820042224
1381509452.2639425,2.1489,1405099392,23589939.73605752,39.320891524830266,0.016788805027151788
5524555502.776217,1.7144,5590505713,65950210.22378254,109.92910924165415,0.011796823688136806
5497873989.749663,1.5526,5592274240,94400250.25033665,157.35105903372144,0.016880475849184506
615157105.8900521,1.8288,631086739,15929633.10994792,26.552309270599633,0.025241590617463314
2422088460.299676,2.4104,2430913874,8825413.700324059,14.710641004383913,0.0036304921349607873
1488235504.370176,1.3863,1543060122,54824617.62982392,91.38441500202343,0.035529800069464774
1036132089.1979396,2.1275,1053835382,17703292.802060366,29.508733964170002,0.016798916704108505
406151920.51536137,2.0058,411432519,5280598.484638631,8.801965690623687,0.012834664837561445
4369838911.238126,2.6714,4307350241,62488670.2381258,104.15924124674682,0.014507450460684699
3424127505.074708,1.8629,3516543194,92415688.92529202,154.04309294904442,0.026280265541163722
3169170825.043191,1.8051,3186453871,17283045.956809044,28.808245501686926,0.005423912178394452
1085048196.4132936,1.5953,1091917113,6868916.5867064,11.449453751089953,0.006290694142373424
358718119.57926136,2.3341,380520936,21802816.420738637,36.3420249906467,0.05729728474319384
1474894747.8568969,1.4675,1510372951,35478203.14310312,59.13684362463725,0.023489697110646364
1586067718.8008902,2.2003,1582061198,4006520.8008902073,6.6782692777709,0.002532468912046604
770799265.2116302,0.9026,800730962,29931696.788369775,49.89164939538312,0.037380466359898015
1316287975.9767995,1.7495,1304484833,11803142.976799488,19.674069108934464,0.009048125879436337
5561613159.757543,2.2797,5561758953,145793.24245738983,0.2430154691305874,2.6213513330841008e-05
4675194004.764245,1.7013,4665168492,10025512.764245033,16.71102615328525,0.002149014077720268
3487866675.0825872,2.0059,3521798975,33932299.91741276,56.56005480171612,0.009634933781935341
960534468.9560302,2.0823,974248221,13713752.04396975,22.85876787108207,0.014076240272621192
610710187.0522927,1.9058,629026678,18316490.947707295,30.53084330560911,0.029118782379699476
3324812984.3647566,2.3039,3348203506,23390521.635243416,38.98849145946623,0.006985991620081475
1766909084.869786,2.0391,1772166542,5257457.130213976,8.763392523534215,0.0029666834383864447
1557903899.4950786,2.1107,1594186106,36282206.50492144,60.476996644499955,0.02275907835877315
5534931646.7309885,2.1919,5550902701,15971054.269011497,26.621352130420174,0.0028771994627350066
4048178448.640224,1.7878,4094390209,46211760.35977602,77.02807368773234,0.011286603865502752
1326664119.9315724,2.0729,1367965072,41300952.06842756,68.84249278825264,0.03019152529095243
778210796.6078959,1.9593,821692175,43481378.39210415,72.47693644984973,0.05291687047172398
2792665030.1129274,1.7364,2862426888,69761857.88707256,116.28255422608581,0.024371577202384274
75597620.24191058,0.7782,68731126,6866494.241910577,11.44541606561818,0.09990370653771301
1387438677.3809557,1.8411,1431210704,43772026.619044304,72.96140345278698,0.030583915070442558
492125684.7120426,0.6473,512887798,20762113.28795737,34.60732895278042,0.040480809582366724
836020741.4987677,0.6653,809547311,26473430.498767734,44.12723816081058,0.032701523603439815
1302947219.4635203,2.0476,1279371324,23575895.46352029,39.29748182886832,0.01842771916272862
807856922.1929584,1.14,781662399,26194523.192958355,43.662341512496965,0.03351130005289964
