true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
2055,2104.0,38,28,16470,2282,63896,433,132,18,283,0,0,0,49.0,9.13337334620704e-05,0.023844282238442822,80837
272,286.0,1,1,3156,2147,2147,149,30,60,59,0,0,0,14.0,2.6095352417734403e-05,0.051470588235294115,5453
16835,18208.0,125,123,9386,2986,367278,9742,3655,2904,3183,0,0,0,1373.0,0.002559208490682095,0.08155628155628156,386531
389,405.0,1,1,24198,3882,3882,173,40,133,0,0,0,0,16.0,2.9823259905982172e-05,0.04113110539845758,28254
1226,1317.0,38,22,24198,4125,90750,528,98,430,0,0,0,0,91.0,0.00016961979071527362,0.07422512234910278,115514
993,1055.0,38,28,3191,1765,49420,516,20,335,161,0,0,0,62.0,0.00011556513213568092,0.06243705941591138,53165
1575,1665.0,1,1,24198,3932,3932,615,98,517,0,0,0,0,90.0,0.00016775583697114973,0.05714285714285714,28746
509,559.0,1,1,9386,3018,3018,325,87,162,76,0,0,0,50.0,9.319768720619429e-05,0.09823182711198428,12730
532,581.0,38,23,9386,3099,71277,335,128,119,88,0,0,0,49.0,9.13337334620704e-05,0.09210526315789473,81036
259,290.0,1,1,9386,3033,3033,172,39,90,43,0,0,0,31.0,5.778256606784046e-05,0.11969111969111969,12592
387,401.0,1,1,16470,1941,1941,105,25,1,79,0,0,0,14.0,2.6095352417734403e-05,0.03617571059431524,18517
1732,1831.0,1,1,9917,3245,3245,667,286,230,151,0,0,0,99.0,0.0001845314206682647,0.05715935334872979,13830
746,790.0,1,1,24198,4051,4051,356,39,317,0,0,0,0,44.0,8.201396474145098e-05,0.058981233243967826,28606
1234,1291.0,1,1,17814,2269,2269,435,266,0,169,0,0,0,57.0,0.0001062453634150615,0.046191247974068074,20519
1234,1298.0,1,1,17814,2346,2346,450,265,0,185,0,0,0,64.0,0.00011929303962392869,0.05186385737439222,20611
1586,1663.0,1,1,22854,3864,3864,588,91,497,0,0,0,0,77.0,0.0001435244382975392,0.048549810844892814,27307
2166,2287.0,38,23,3688,2428,55844,750,147,603,0,0,0,0,121.0,0.00022553840303899018,0.055863342566943676,60320
26892,27276.0,125,123,754,560,68880,7656,0,600,7056,0,0,0,384.0,0.0007157582377435722,0.0142793395805444,77415
14019,15264.0,125,114,9917,3335,380190,8972,3726,2132,3114,0,0,0,1245.0,0.002320622411434238,0.08880804622298309,399204
1721,1753.0,1,1,1644,836,836,310,21,31,258,0,0,0,32.0,5.9646519811964344e-05,0.018593840790238233,2791
1,2.0,1,1,18150,2574,2574,5,2,1,2,0,0,0,1.0,1.8639537441238858e-06,1.0,20730
1115,1199.0,38,23,22854,3818,87814,538,71,467,0,0,0,0,84.0,0.0001565721145064064,0.07533632286995516,111244
254,283.0,1,1,3282,1797,1797,143,3,85,55,0,0,0,29.0,5.405465857959269e-05,0.1141732283464567,5223
2628,2785.0,1,1,3688,2424,2424,952,181,771,0,0,0,0,157.0,0.00029264073782745006,0.05974124809741248,7065
415,444.0,38,29,16470,2287,66323,265,122,5,138,0,0,0,29.0,5.405465857959269e-05,0.06987951807228916,83096
488,521.0,1,1,17814,2226,2226,253,118,0,135,0,0,0,33.0,6.151047355608824e-05,0.06762295081967214,20294
505,576.0,38,29,9917,3198,92742,470,198,122,150,0,0,0,71.0,0.0001323407158327959,0.1405940594059406,103167
1526,1604.0,1,1,9386,3175,3175,521,280,107,134,0,0,0,78.0,0.0001453883920416631,0.05111402359108781,13083
2469,2623.0,1,1,24198,4017,4017,916,192,724,0,0,0,0,154.0,0.0002870488765950784,0.06237343053867963,29132
151,180.0,38,19,3156,2254,42826,181,84,66,31,0,0,0,29.0,5.405465857959269e-05,0.19205298013245034,46201
1395,1428.0,1,1,18150,2264,2264,267,53,24,190,0,0,0,33.0,6.151047355608824e-05,0.023655913978494623,20682
992,1052.0,1,1,22854,3948,3948,363,41,322,0,0,0,0,60.0,0.00011183722464743315,0.06048387096774194,27166
385,420.0,1,1,9386,2787,2787,207,84,68,55,0,0,0,35.0,6.5238381044336e-05,0.09090909090909091,12381
0,0.0,1,1,754,587,587,1,0,0,1,0,0,0,0.0,0.0,0.0,1343
481,519.0,1,1,9917,2836,2836,255,108,49,98,0,0,0,38.0,7.083024227670766e-05,0.079002079002079,13009
17148,18531.0,125,123,9386,3087,379701,9872,3722,3031,3119,0,0,0,1383.0,0.002577848028123334,0.08065080475857243,399084
1,2.0,1,1,9917,3083,3083,4,2,1,1,0,0,0,1.0,1.8639537441238858e-06,1.0,13005
18360,19591.0,125,123,9386,2797,344031,9150,3257,2578,3315,0,0,0,1231.0,0.0022945270590165033,0.0670479302832244,362692
1126,1211.0,1,1,24198,4089,4089,516,100,416,0,0,0,0,85.0,0.0001584360682505303,0.07548845470692718,28804
28,37.0,1,1,22854,3766,3766,24,2,22,0,0,0,0,9.0,1.6775583697114972e-05,0.32142857142857145,26645
232,259.0,38,26,9917,2867,74542,251,104,48,99,0,0,0,27.0,5.0326751091344914e-05,0.11637931034482758,84748
1492,1535.0,1,1,18150,2347,2347,318,98,31,189,0,0,0,43.0,8.01500109973271e-05,0.028820375335120642,20816
23005,24669.0,125,123,9386,3101,381423,11166,4543,3308,3315,0,0,0,1664.0,0.003101619030222146,0.07233210171701804,402100
0,0.0,1,1,16470,1936,1936,4,1,0,3,0,0,0,0.0,0.0,0.0,18411
1844,1954.0,1,1,24198,4048,4048,645,123,522,0,0,0,0,110.0,0.00020503491185362745,0.0596529284164859,28892
873,939.0,1,1,16470,2216,2216,388,212,7,169,0,0,0,66.0,0.00012302094711217647,0.07560137457044673,19075
996,1063.0,38,25,9386,3058,76450,474,176,155,143,0,0,0,67.0,0.00012488490085630036,0.06726907630522089,86348
623,690.0,38,30,18150,2281,68430,379,137,34,208,0,0,0,67.0,0.00012488490085630036,0.10754414125200643,86997
2159,2295.0,1,1,9386,3183,3183,811,480,183,148,0,0,0,136.0,0.0002534977092008485,0.06299212598425197,13381
