estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,true_counts,absolute_error,normalized_error,relative_error
148435,3.048876,-1,1,1,5401,164,164,164,120,28,9,7,0,0,0,146880,1555,0.0025919517813626164,0.010586873638344227
42447,0.298013,-1,21,7,17,17,119,56,28,0,14,14,0,0,0,42096,351,0.0005850643570792787,0.008338084378563284
24275,12.968127,-1,1,1,16319,2451,2451,1171,946,27,182,16,0,0,0,12657,11618,0.01936546353432211,0.917911037370625
16229,3.009471,-1,378,252,9,9,2268,955,29,0,439,487,0,0,0,13781,2448,0.004080448849373431,0.17763587548073434
151217,0.153103,-1,1,1,9,9,9,9,1,0,4,4,0,0,0,151188,29,4.833865058489767e-05,0.0001918141651453819
29235,4.918767,-1,1,1,8257,240,240,240,210,21,9,0,0,0,0,26701,2534,0.004223797951107955,0.0949028126287405
19815,5.268083,-1,1,1,8353,215,215,169,134,14,15,6,0,0,0,18111,1704,0.0028403124343677802,0.09408646678813981
11152,3.048859,-1,1,1,937,933,933,598,334,254,6,4,0,0,0,5512,5640,0.009401034113752513,1.02322206095791
11476,3.186963,-1,1,1,973,971,971,636,336,254,46,0,0,0,0,5655,5821,0.009702733967403081,1.0293545534924846
26277,4.074594,-1,7,7,5401,127,889,386,274,49,42,21,0,0,0,22678,3599,0.005998993222587818,0.15870006173383897
42892,0.061809,-1,3,1,1,1,1,1,0,0,0,0,0,0,1,42892,0,0.0,0.0
48410,3.513755,-1,1,1,937,931,931,931,667,254,6,4,0,0,0,39177,9233,0.015390026236219318,0.23567399239349618
126781,22.06864,-1,1,1,20134,4186,4186,4186,2016,1836,334,0,0,0,0,89626,37155,0.06193181249937493,0.41455604400508783
87728,14.722125,-1,1,1,16481,2271,2271,2271,2071,4,183,13,0,0,0,64165,23563,0.03927598702523944,0.36722512273046054
49118,4.095122,-1,1,1,973,969,969,969,669,254,46,0,0,0,0,39482,9636,0.016061766794347378,0.24406058457018387
21581,4.879298,-1,1,1,8257,281,281,218,177,28,6,7,0,0,0,19399,2182,0.0036370667440085076,0.11248002474354347
84745,77.727275,-1,7,7,112969,3318,23226,10056,347,1156,8217,336,0,0,0,37549,47196,0.0786686535518907,1.256917627633226
7068,8.099699,-1,1,1,15352,304,304,169,70,7,78,14,0,0,0,5869,1199,0.001998553174182493,0.20429374680524792
133369,3.350479,-1,1,1,5497,104,104,104,60,21,18,5,0,0,0,132507,862,0.001436824717385579,0.006505316700249798
21512,0.167089,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,21452,60,0.00010001100121013311,0.0027969420100689914
30110,66.508694,3,1,1,425,204,204,204,0,0,0,204,0,0,0,28589,1521,0.0025352788806768745,0.05320228059743258
80253,15.55988,-1,1,1,16712,2314,2314,2314,2073,40,190,11,0,0,0,56397,23856,0.039764374081148926,0.4230012234693335
19990,0.345483,-1,3,3,13,13,39,31,2,12,8,9,0,0,0,19819,171,0.00028503135344887937,0.00862808416166305
151334,0.092568,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,151208,126,0.00021002310254127955,0.0008332892439553462
156479,0.034812,-1,1,1,4,4,4,4,1,2,0,1,0,0,0,156457,22,3.667070044371547e-05,0.00014061371495043367
43566,14.589778,-1,1,1,25097,1051,1051,1051,111,72,800,68,0,0,0,38424,5142,0.008570942803708409,0.13382261086820738
25641,80.680121,3,1,1,450,162,162,162,0,0,0,162,0,0,0,26759,1118,0.0018635383225488137,0.041780335588026456
127643,23.675921,-1,1,1,19497,3815,3815,3815,1481,2307,10,17,0,0,0,93539,34104,0.056846253087839665,0.36459658538149864
138353,24.053416,-1,1,1,19564,4165,4165,4165,1626,2189,350,0,0,0,0,102620,35733,0.059561551770694776,0.3482069771974274
10624,3.277555,-1,1,1,4849,100,100,79,39,21,18,1,0,0,0,9947,677,0.0011284574636543352,0.06806072182567609
150932,0.127933,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,150809,123,0.00020502255248077287,0.0008156011909103569
47252,2.719795,-1,1,1,730,727,727,727,670,24,29,4,0,0,0,39562,7690,0.012818076655098728,0.19437844396137707
152246,0.23968,-1,1,1,42,42,42,42,6,5,15,16,0,0,0,152077,169,0.0002816976534085416,0.0011112791546387685
5379,0.095139,-1,3,1,17,17,17,7,2,2,1,2,0,0,0,5334,45,7.500825090759983e-05,0.00843644544431946
9620,2.032611,-1,1,1,676,673,673,384,321,30,29,4,0,0,0,5649,3971,0.0066190614300906435,0.7029562754469818
21576,0.104546,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,21510,66,0.00011001210133114643,0.0030683403068340305
152331,0.137262,-1,1,1,22,22,22,22,4,5,5,7,1,0,0,152235,96,0.000160017601936213,0.0006306040003941275
5343,0.12811,-1,1,1,24,24,24,19,1,5,5,7,1,0,0,5272,71,0.00011834635143199086,0.013467374810318665
0,0.231231,-1,7,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
71015,26.924356,-1,7,7,16554,2274,15918,4779,3324,59,1319,77,0,0,0,28116,42899,0.07150619901522501,1.5257860293071561
53952,66.44573,-1,1,1,102145,2288,2288,2288,359,1236,625,68,0,0,0,38137,15815,0.02636123306897092,0.4146891470225765
