estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,true_counts,absolute_error,normalized_error,relative_error
72270,137.956105,3,1,1,85000,11872,11872,11871,0,0,11871,25915,46355,0.07726683268492868,1.7887323943661972
30846,9.744566,-1,462,308,29,29,8932,2973,24,404,2545,16997,13849,0.023084205929318893,0.8147908454433135
102128,7.642846,-1,1,1,8641,1165,1165,1165,875,156,134,90678,11450,0.019085432730933737,0.1262709808332782
48907,3.554945,-1,1,1,973,972,972,972,672,254,46,39443,9464,0.01577506859087833,0.2399411809446543
56890,25.520855,-1,1,1,29902,4380,4380,4380,87,94,4199,37405,19485,0.03247857264299073,0.5209196631466382
150271,0.234697,-1,1,1,33,33,33,33,6,4,23,150079,192,0.000320035203872426,0.001279326221523331
113320,4.974193,-1,1,1,8641,288,288,288,209,28,51,110574,2746,0.004577170155383759,0.02483404778700237
44878,5.370539,-1,1,1,5785,826,826,826,506,276,44,37040,7838,0.013064770458083722,0.21160907127429807
56496,123.855498,3,1,1,72000,9286,9286,9286,0,0,9286,22977,33519,0.055871145826040865,1.4588066327196763
77672,0.472257,-1,7,7,29,29,203,98,0,7,91,77234,438,0.0007300803088339718,0.005671077504725898
3619,1.235786,-1,54,36,33,33,1188,376,15,45,316,1851,1768,0.0029469908356585892,0.9551593733117234
69684,34.548232,-1,1,1,38096,5860,5860,5860,99,1759,4002,38540,31144,0.051912377028139764,0.8080954852101713
16258,6.06009,-1,1,1,5785,783,783,316,152,32,132,13753,2505,0.004175459300523057,0.18214207809205266
22403,0.328389,-1,1,1,4,4,4,4,1,0,3,22383,20,3.3337000403377706e-05,0.0008935352723048743
68274,31.357552,-1,1,1,32565,5657,5657,5657,72,1561,4024,38353,29921,0.04987381945347322,0.7801475764607723
21962,0.510016,-1,7,7,33,33,231,119,21,28,70,21220,742,0.0012368027149653128,0.0349670122525919
150719,0.192389,-1,1,1,29,29,29,29,1,5,23,150544,175,0.0002916987535295549,0.0011624508449357
25252,7.014368,-1,378,252,25,25,6300,2735,22,0,2713,13842,11410,0.01901875873012698,0.8243028464094784
22249,0.11047,-1,1,1,5,5,5,5,1,2,2,22217,32,5.333920064540433e-05,0.0014403384795426924
85858,0.029614,-1,1,1,1,1,1,1,0,0,1,85856,2,3.3337000403377706e-06,2.3294819232202757e-05
48152,3.572116,-1,1,1,919,916,916,916,610,260,46,39242,8910,0.014851633679704768,0.22705264767341113
46793,2.65844,-1,1,1,712,710,710,710,611,30,69,39601,7192,0.011987985345054623,0.18161157546526602
152938,0.835601,-1,1,1,203,203,203,203,15,14,174,151936,1002,0.001670183720209223,0.0065948820556023585
5318,0.166875,-1,3,1,33,33,33,14,4,1,9,5233,85,0.00014168225171435524,0.01624307280718517
3213,0.124517,-1,1,1,29,29,29,10,0,3,7,3155,58,9.667730116979534e-05,0.01838351822503962
152765,0.783539,-1,1,1,186,186,186,186,6,5,175,151966,799,0.0013318131661149393,0.005257755024150139
20545,12.529613,-1,7,7,16908,352,2464,2128,0,63,2065,11395,9150,0.0152516776845453,0.8029837648091268
137827,4.422538,-1,1,1,2905,523,523,523,129,198,196,134038,3789,0.006315694726419906,0.028268103075247318
150211,0.181501,-1,1,1,33,33,33,33,6,4,23,150030,181,0.00030169985365056826,0.0012064253815903486
85612,0.064945,-1,1,1,1,1,1,1,0,0,1,85608,4,6.667400080675541e-06,4.6724605177086255e-05
151473,0.131808,-1,1,1,25,25,25,25,1,0,24,151351,122,0.000203355702460604,0.0008060732998130174
79784,6.88301,-1,1,1,5785,491,491,491,259,120,112,75449,4335,0.007225794837432117,0.057456029900992724
116690,223.386175,3,1,1,106250,19185,19185,19185,0,0,19185,32612,84078,0.14014541599575953,2.5781307494173924
43494,0.104171,-1,1,1,1,1,1,1,0,0,1,43492,2,3.3337000403377706e-06,4.5985468591924955e-05
300420,0.080957,-1,21,7,1,1,7,7,0,0,7,300396,24,4.000440048405325e-05,7.989453920824512e-05
14846,0.189776,-1,1,1,33,33,33,19,2,0,17,14756,90,0.00015001650181519966,0.006099213879100027
151446,0.161738,-1,1,1,33,33,33,33,6,4,23,151244,202,0.0003367037040741148,0.0013355901721721192
8924,0.160395,-1,1,1,29,29,29,17,1,3,13,8837,87,0.000145015951754693,0.009844970012447662
16771,7.176152,-1,1,1,5785,729,729,393,92,174,127,13924,2847,0.004745522007420816,0.20446710715311692
114354,28.21154,-1,1,1,19637,3531,3531,3531,1073,2120,338,84775,29579,0.04930375674657546,0.34891182542023
47184,2.941416,-1,1,1,766,764,764,764,671,24,69,39409,7775,0.012959758906813083,0.1972899591463879
17568,10.699308,-1,1,1,8641,1296,1296,522,261,137,124,13139,4429,0.0073824787393279925,0.33708805845193696
104147,200.900159,3,1,1,90000,17100,17100,17100,0,0,17100,36051,68096,0.11350581897342041,1.888879642728357
114078,32.146095,-1,7,7,19552,2335,16345,9906,374,7404,2128,44726,69352,0.11559938259875253,1.5505969682064125
2100,0.167787,-1,1,1,33,33,33,7,4,0,3,2039,61,0.000101677851230302,0.029916625796959292
4514,0.116538,-1,1,1,29,29,29,12,0,1,11,4472,42,7.000770084709318e-05,0.009391771019677997
150237,0.175083,-1,1,1,33,33,33,33,6,4,23,150056,181,0.00030169985365056826,0.0012062163458975315
4288,1.860987,-1,154,77,29,29,2233,513,0,175,338,1641,2647,0.004412152003387039,1.6130408287629494
94026,8.822082,-1,7,7,8641,823,5761,1531,664,0,867,82922,11104,0.018508702623955302,0.13390897469911484
21473,0.15541,-1,1,1,29,29,29,29,1,5,23,21328,145,0.00024169325292448836,0.006798574643660915
95381,10.824248,-1,1,1,16782,1242,1242,1242,732,21,489,85054,10327,0.01721356015828408,0.12141698215251487
14065,0.147505,-1,1,1,29,29,29,18,1,1,16,13987,78,0.00013001430157317306,0.00557660684921713
21587,0.111465,-1,1,1,29,29,29,29,1,5,23,21435,152,0.0002533612030656706,0.007091205971541871
