estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_sums,absolute_error,normalized_error,relative_error
711173832.0,0.155,-1,1,1,19,19,19,19,3,3,6,6,1,711073819,100013.0,0.16670667106715073,0.00014065065725616315
710988153.0,0.095299,-1,1,1,17,17,17,17,6,2,6,1,2,710834670,153483.0,0.255833141645581,0.00021591940640711856
711728784.0,0.098301,-1,1,1,19,19,19,19,8,2,1,7,1,711530008,198776.0,0.3313297796090903,0.0002793641838925787
711211842.0,0.1236,-1,1,1,24,24,24,24,5,7,5,6,1,711019838,192004.0,0.32004187127250666,0.00027004028543012326
711495398.0,0.07,-1,1,1,20,20,20,20,4,3,6,6,1,711341581,153817.0,0.2563898695523174,0.00021623507483390037
468976968.0,0.2011,-1,1,1,37,37,37,37,9,5,6,14,3,468701376,275592.0,0.4593705307583834,0.0005879905929697974
711453112.0,0.0683,-1,1,1,20,20,20,20,5,2,6,6,1,711337784,115328.0,0.1922344791260372,0.00016212832017932003
711624600.0,0.121701,-1,1,1,24,24,24,24,4,8,5,6,1,711437646,186954.0,0.3116242786706538,0.0002627833950749353
711253778.0,0.0936,-1,1,1,22,22,22,22,3,7,5,6,1,711071102,182676.0,0.3044934942843713,0.0002569025790616365
712188033.0,0.1062,-1,1,1,21,21,21,21,5,3,6,6,1,711993032,195001.0,0.3250374207829528,0.0002738804893247888
710967580.0,0.1053,-1,1,1,21,21,21,21,7,1,6,6,1,710789721,177859.0,0.2964642777372178,0.0002502273101948811
710822509.0,0.0697,-1,1,1,14,14,14,14,2,3,6,1,2,710710926,111583.0,0.18599212580050473,0.00015700194821544083
710924936.0,0.071201,-1,1,1,15,15,15,15,4,2,6,1,2,710782488,142448.0,0.23743945167301736,0.00020041011477480296
431592703.0,2.3591,5,1,1,2000,157,157,157,0,0,0,0,157,806963943,375371240.0,625.6875589648195,0.46516482335568243
711368439.0,0.1254,-1,1,1,22,22,22,22,3,7,5,6,1,711204260,164179.0,0.27366176946130744,0.00023084648002530243
710856905.0,0.064899,-1,1,1,11,11,11,11,3,3,1,2,2,710766544,90361.0,0.15061823467248064,0.00012713175762532795
711695017.0,0.126099,-1,1,1,24,24,24,24,4,8,5,6,1,711505630,189387.0,0.31567972476972467,0.00026617779538863244
711083172.0,0.1041,-1,1,1,22,22,22,22,3,7,5,6,1,710875299,207873.0,0.3464931142425667,0.000292418375335897
711573970.0,0.1022,-1,1,1,24,24,24,24,5,7,5,6,1,711363471,210499.0,0.35087026239553015,0.00029590920616726465
711057709.0,0.0922,-1,1,1,22,22,22,22,3,7,5,6,1,710895938,161771.0,0.26964799461274075,0.00022755932528622776
577641441.0,11.1336,-1,1,1,2964,2846,2846,2846,2471,127,212,34,2,529922995,47718446.0,79.53949267752786,0.09004788705196687
