estimates,runtime,true_sums,absolute_error,normalized_error,relative_error
11733298417.296698,8.0257,12153281779,419983361.7033024,8.751657680753894,0.03455719774629134
5835933767.7652645,4.4566,5836709362,775594.2347354889,0.01616191463881486,0.0001328821064459726
13944810160.871143,4.6266,14407190178,462380017.12885666,9.635123667569463,0.03209369845307644
724884404.8382169,3.657,749541066,24656661.1617831,0.5137981113421058,0.03289567747550619
3292695262.654967,2.5862,3273272100,19423162.65496683,0.4047419163094338,0.00593386741510638
1664776895.8572545,2.5372,1746532402,81755506.1427455,1.7036298780415584,0.04681018574240313
6419527144.541764,7.2387,6167424408,252102736.54176426,5.25334346971931,0.0408765020637711
1935072775.6274333,4.0263,2050255172,115182396.3725667,2.4001829496610902,0.05617954191536442
20358194217.236057,7.7239,20406354961,48160743.76394272,1.0035786688385262,0.0023600855643247437
23073439191.29051,6.4962,22914574754,158864437.29050827,3.310433935224129,0.006932899213535554
16131749551.73921,6.4305,15892868282,238881269.73921013,4.977833147062412,0.015030721044215984
1068897342.727542,2.5981,1193623351,124726008.27245796,2.5990537431303373,0.10449360610109072
6683679936.135338,4.9745,6544167303,139512633.13533783,2.9071789948755935,0.021318622626194467
22680281547.988503,3.6867,22914176648,233895100.0114975,4.873930815269786,0.010207440730012543
18773277467.674866,2.0864,19039054348,265776880.32513428,5.538286723147539,0.013959563088964731
2715244974.055017,1.2939,2641677004,73567970.055017,1.5330171356747806,0.027848964859678582
13631512663.864763,1.9923,13832012644,200499980.13523674,4.178039777635672,0.014495358361475247
9478785056.48608,6.414,9041338526,437446530.48608017,9.115557037595718,0.04838293901153284
1277762340.7317712,3.0763,1267121487,10640853.73177123,0.221735234733472,0.00839765866252036
3268122909.948586,2.4522,3141801448,126321461.94858599,2.6322999754628387,0.04020669798500455
1824497188.448724,5.3345,1929053242,104556053.55127597,2.178750094813922,0.05420070907056694
17741238654.007107,6.3686,18107229026,365990371.9928932,7.626546054451454,0.020212389839846346
15068995297.188156,6.5713,14548795756,520199541.1881561,10.839973021074517,0.035755505123069936
1597202925.9147098,2.8206,1747022665,149819739.0852902,3.1219595580564983,0.08575718110977695
11604293565.588188,5.0736,11885689910,281396344.4118118,5.86376676666412,0.023675221761848223
4656460837.859076,6.3754,4505623981,150836856.85907555,3.1431543657295418,0.033477462277177884
6708252288.841717,3.0627,6636334732,71917556.84171677,1.4986256506978102,0.01083693932660369
5455062300.816391,3.2494,5210049550,245012750.816391,5.10560159780741,0.04702695213645156
3139118058.2400866,1.9933,3280296431,141178372.75991344,2.941889853230625,0.04303829721781429
5590210240.701475,3.1875,5366405841,223804399.70147514,4.663659735686449,0.04170471006713321
22655709195.28213,2.2572,22924195464,268486268.7178688,5.594745244840528,0.011711916744886327
22526704343.57366,2.0031,22923103894,396399550.4263382,8.26021572870508,0.017292577491222455
2481807623.344399,2.5708,2388840877,92966746.34439898,1.937250886320673,0.03891709457900363
9632362260.900972,6.1205,10018824590,386462329.09902763,8.053142860385247,0.03857361965242548
6106229647.535433,3.4324,6349384716,243155068.46456718,5.066891016614851,0.03829584744673505
5141764803.81006,5.849,4625716703,516048100.81005955,10.753464867694793,0.11156067998616896
1455911897.8530254,5.5893,1559452185,103540287.14697456,2.157583447121016,0.06639529454182948
18042249974.6602,8.0945,17766339498,275910476.6601982,5.749451674634531,0.015529956336321172
14264250746.05412,7.7544,14414786311,150535564.9458809,3.136876012997745,0.01044313538182709
12722335613.728603,6.0148,13065055997,342720383.27139664,7.141643569982531,0.026231834241666637
4545885250.68037,4.8146,4441587697,104297553.68037033,2.173363447182192,0.02348204308806431
1486627338.7360003,3.8072,1435561287,51066051.7360003,1.064119783432908,0.03557218503900788
6419527144.541764,3.9236,6229778214,189748930.54176426,3.9540082698890657,0.03045837653021852
6953975815.905506,4.7865,6541116856,412858959.90550613,8.603198643087284,0.06311750256025485
3280409086.3017764,2.5365,3273760917,6648169.301776409,0.13853525457979177,0.0020307436829775094
5240054214.635575,6.5449,4970702994,269351220.6355753,5.6127692043216335,0.05418775190565636
22723283165.224663,9.3648,22910085407,186802241.77533722,3.8926048579279255,0.00815371215151652
18797849820.38124,6.6787,19137252881,339403060.61875916,7.072516849926884,0.01773520278637944
13907951631.811571,7.6285,14449232216,541280584.1884289,11.279262023246885,0.037460854396751626
4036008932.0229874,6.244,3692255987,343752945.02298737,7.163160200897413,0.09310105968635467
2641527915.9358745,4.3704,2549854337,91673578.93587446,1.910303727182237,0.03595247681627645
13318215166.858383,9.2143,13753267866,435052699.1416168,9.065674127026984,0.03163267838454073
7340990371.030974,9.7073,7246356408,94633963.03097439,1.9719925238497722,0.013059523669923025
6401097880.01198,10.1082,6200831593,200266287.01198006,4.173170055633367,0.03229668214793268
22723283165.224663,6.4299,22911331603,188048437.77533722,3.9185732218909473,0.008207660778246265
16758344545.75197,8.0528,16857905806,99561260.24802971,2.0746680640428696,0.005905909155845102
5448919212.639796,6.5055,5625557311,176638098.36020374,3.680803363157811,0.03139921764103484
3231264380.8890147,6.618,3141889307,89375073.88901472,1.8624072360783528,0.028446283479781016
