estimates,runtime,true_sums,absolute_error,normalized_error,relative_error
145459403.69370672,4.9206,147932195,2472791.306293279,4.121772238768396,0.01671570753271983
70419075.9182831,2.8615,71699120,1280044.081716895,2.133641503426869,0.017852995709248524
172966855.22428247,2.2766,175466671,2499815.7757175267,4.166817976173257,0.014246670102480754
10122742.163253397,1.3707,9756231,366511.16325339675,0.610919139861046,0.03756688041246632
38363725.73464856,0.9339,39474990,1111264.265351437,1.8523108631140042,0.028151096817287023
20025424.714262176,0.7387,21558816,1533391.2857378237,2.5559332955588845,0.07112595078216835
75920566.22439937,2.1378,80223145,4302578.775600627,7.1717535188881225,0.05363263651157814
24133204.14282878,0.8756,25113154,979949.8571712188,1.6334294391903423,0.03902137728981469
242945811.9180672,1.9947,247432348,4486536.081932813,7.478382758658141,0.01813237484184086
273680804.4282305,2.3354,277730300,4049495.571769476,6.749901775477762,0.014580676187544089
200914425.97934744,3.1563,205955729,5041303.020652562,8.403096041652185,0.02447760518792154
14303874.795901548,0.9894,14520201,216326.20409845188,0.3605833376645629,0.014898292668156033
77167570.69378573,1.9275,79826980,2659409.306214273,4.432836455700582,0.03331466762508457
273314038.40782285,2.224,278785042,5471003.592177153,9.11934244796453,0.019624451702746494
226147928.1833956,1.8318,230913289,4765360.816604406,7.943141773269069,0.020637014167705203
32275409.795880444,1.0761,34380998,2105588.2041195557,3.509699740504048,0.06124278894171588
164164470.73449823,1.8755,167576438,3411967.2655017674,5.687237705317197,0.02036066231161786
98513353.08151685,3.3706,103013180,4499826.918483153,7.500536589830136,0.0436820503792151
12836810.714270618,1.0468,15540335,2703524.285729382,4.506369510195092,0.17396821147867034
39977496.2244425,0.7132,40926515,949018.7755575031,1.5818719651786748,0.023188360297902305
26847272.693846,2.0853,25425521,1421751.6938459985,2.3698468395623493,0.055918291461795354
216025186.0201437,2.115,220859847,4834660.979856312,8.058654751783216,0.021890176261221046
171939910.36714098,2.7047,176764076,4824165.632859021,8.041160582429104,0.027291550082037153
21565841.999974653,0.8909,21123537,442304.9999746531,0.7372560981285493,0.020938964907943832
140984858.24473307,3.017,143872007,2887148.7552669346,4.812443960947262,0.0200674809191126
59709508.12237752,2.8815,59786381,76872.87762247771,0.12813555761546722,0.0012857924553499518
81568762.93867874,1.1531,80388174,1180588.9386787415,1.967864696247823,0.01468610219556351
66751415.71420562,2.4236,68654849,1903433.2857943773,3.172737810816485,0.027724673690482916
39317317.38770862,0.8478,40202390,885072.6122913808,1.475283301648816,0.022015422771914324
67558300.95910265,3.2733,70189786,2631485.0408973545,4.386290893493875,0.03749099677975018
273387391.6119044,3.5583,279305544,5918152.388095617,9.864672427459716,0.021188811017999763
273093978.79557824,3.2947,279671561,6577582.204421759,10.96384303010291,0.02351895266326975
