true_counts,runtimes
320266,0.0907595157623291
153936,0.11654376983642578
378762,0.08457517623901367
21053,0.12289214134216309
85925,0.11294746398925781
62243,0.10824036598205566
146210,0.08407926559448242
54863,0.11919212341308594
536393,0.08576440811157227
602071,0.0762624740600586
585746,0.08014082908630371
15810,0.16884613037109375
157036,0.08505511283874512
602554,0.07886505126953125
501089,0.08519816398620605
61098,0.11553144454956055
365279,0.08491110801696777
238865,0.08394289016723633
44788,0.13394522666931152
83567,0.10617375373840332
66871,0.10031557083129883
475931,0.08863973617553711
365742,0.08627152442932129
46142,0.11890292167663574
313906,0.08491873741149902
147483,0.08864116668701172
173847,0.1344902515411377
146974,0.0883486270904541
86091,0.10077118873596191
130867,0.09064698219299316
602895,0.08230710029602051
602631,0.0763084888458252
72762,0.08978104591369629
264303,0.0845787525177002
166947,0.11602115631103516
111005,0.11706352233886719
56174,0.08934903144836426
625470,0.07681894302368164
380644,0.08162069320678711
344082,0.08231902122497559
156811,0.0830531120300293
49559,0.08828186988830566
154333,0.11421680450439453
156368,0.0866854190826416
86354,0.10656452178955078
147143,0.08478665351867676
602921,0.07819080352783203
502739,0.08643293380737305
379954,0.08365702629089355
98751,0.0868983268737793
66938,0.1121516227722168
361920,0.08842921257019043
156654,0.08826494216918945
145969,0.08805489540100098
602608,0.08043694496154785
442466,0.0859229564666748
147918,0.08555126190185547
88681,0.09166646003723145
307733,0.10604333877563477
7651,0.1508948802947998
146737,0.11317205429077148
55008,0.12727856636047363
89193,0.126051664352417
147178,0.08634614944458008
85855,0.11118102073669434
601431,0.08046483993530273
55275,0.12702155113220215
89022,0.11621952056884766
342517,0.1155705451965332
156145,0.08425116539001465
156976,0.08607721328735352
586219,0.08113384246826172
21073,0.1965630054473877
12826,0.23871660232543945
585784,0.12738585472106934
50753,0.17187023162841797
536303,0.11971735954284668
601872,0.11404895782470703
343724,0.15868854522705078
602532,0.10944509506225586
302088,0.11568093299865723
125583,0.10906195640563965
173552,0.15207767486572266
1201391,0.15184617042541504
59451,0.1697099208831787
603069,0.09585070610046387
34893,0.16662001609802246
55851,0.1253805160522461
313605,0.10971403121948242
156554,0.10886716842651367
52963,0.14350533485412598
137486,0.0968472957611084
187352,0.1168065071105957
8113,0.12999987602233887
17991,0.1510627269744873
602678,0.08306169509887695
6597,0.15923786163330078
330598,0.11545109748840332
85694,0.11971902847290039
353835,0.09317350387573242
56424,0.15544867515563965
85752,0.1329178810119629
85870,0.1315927505493164
104221,0.10042428970336914
386606,0.09578227996826172
171330,0.19045019149780273
302588,0.1001429557800293
427997,0.09995222091674805
585903,0.0913240909576416
69465,0.12774229049682617
365001,0.09901714324951172
22262,0.1408519744873047
21577,0.14254283905029297
400656,0.09889888763427734
156550,0.09236454963684082
22287,0.1289196014404297
625470,0.08241748809814453
602822,0.0820167064666748
602734,0.08682632446289062
173552,0.1570594310760498
84613,0.15297913551330566
343724,0.11821293830871582
8016,0.1392982006072998
179654,0.12443709373474121
85962,0.1244654655456543
549909,0.08991694450378418
146859,0.0890200138092041
72342,0.1413426399230957
145672,0.08683419227600098
156522,0.0877373218536377
585385,0.08671784400939941
167290,0.13132476806640625
47680,0.11959671974182129
54688,0.12501144409179688
602900,0.0818026065826416
106957,0.0855562686920166
72309,0.12306952476501465
22346,0.13593792915344238
22340,0.13554072380065918
91612,0.13569116592407227
171439,0.16105151176452637
156978,0.09609389305114746
369782,0.09254813194274902
276192,0.09679841995239258
156402,0.09730100631713867
77897,0.13918805122375488
144195,0.12347579002380371
19132,0.11202406883239746
528385,0.08805966377258301
85789,0.1299114227294922
109533,0.09997129440307617
245778,0.08801102638244629
79356,0.13929057121276855
601824,0.0824429988861084
624421,0.08619117736816406
147204,0.09040355682373047
102432,0.0906519889831543
361238,0.0932466983795166
403589,0.09548640251159668
39989,0.11186909675598145
601630,0.08367228507995605
157050,0.08848738670349121
586316,0.08345556259155273
21488,0.15687179565429688
22426,0.12062191963195801
85735,0.12783288955688477
585825,0.08908748626708984
20529,0.1560957431793213
0,0.15810942649841309
122700,0.13045477867126465
146782,0.09448552131652832
601673,0.08811092376708984
342517,0.12019705772399902
547583,0.10823750495910645
550692,0.10729575157165527
238673,0.09774565696716309
92665,0.10100340843200684
7900,0.1715686321258545
63166,0.1710813045501709
48309,0.1385328769683838
260112,0.12109899520874023
85891,0.1278524398803711
48315,0.14202165603637695
300998,0.1015617847442627
50499,0.10927033424377441
116714,0.10893559455871582
1201391,0.13903164863586426
73657,0.11760449409484863
385590,0.09294390678405762
362289,0.09127306938171387
80073,0.13013100624084473
22169,0.12349367141723633
20903,0.11731648445129395
568298,0.08682608604431152
465025,0.09032273292541504
85923,0.12465810775756836
111794,0.09632420539855957
86216,0.12046647071838379
137539,0.0919947624206543
51529,0.159104585647583
