baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.025654315948486328,0.018889188766479492,80043,85620.0,1,1,8641,304,304,304,240,28,36,5577.0,0.009296022562481873,0.06967504966080731,9250
0.027465343475341797,0.0015540122985839844,38619,40026.0,7,7,33,33,231,126,21,21,84,1407.0,0.0023452579783776214,0.03643284393692224,397
0.020706892013549805,0.01533055305480957,94973,99717.0,1,1,8641,261,261,261,209,7,45,4744.0,0.007907536495681192,0.04995103871626673,9164
0.026999473571777344,0.12792611122131348,5464,33161.0,1,1,111201,5884,5884,3145,53,197,2895,27697.0,0.046166745008617616,5.068997071742313,120231
0.03548622131347656,0.0014443397521972656,21726,22091.0,1,1,33,33,33,33,6,4,23,365.0,0.0006084002573616431,0.016800147288962532,100
0.028236865997314453,0.028072834014892578,15435,49673.0,1,1,19190,3263,3263,2371,438,1583,350,34238.0,0.057069610990542294,2.218205377389051,24825
0.02260899543762207,0.11081600189208984,38063,96927.0,1,1,111855,5625,5625,5625,374,1226,4025,58864.0,0.09811745958722126,1.5464887160759793,123106
0.027974843978881836,0.0067136287689208984,13582,15743.0,7,7,2353,74,518,182,0,98,84,2161.0,0.003602062893584961,0.15910764246797232,3060
0.024884462356567383,0.011530160903930664,133670,149018.0,1,1,5785,918,918,918,580,142,196,15348.0,0.02558281410955205,0.11482007929976809,7622
0.02095484733581543,0.0009064674377441406,150009,150348.0,1,1,33,33,33,33,6,4,23,339.0,0.0005650621568372521,0.002259864408135512,100
0.019559860229492188,0.001689910888671875,151920,153708.0,1,1,194,194,194,194,15,4,175,1788.0,0.0029803278360619667,0.011769352290679306,583
0.05583786964416504,0.0017962455749511719,3927,7819.0,27,9,102,102,918,455,0,0,455,3892.0,0.006487380278497302,0.9910873440285205,1502
0.02139878273010254,0.004873752593994141,39466,57170.0,1,1,973,968,968,968,668,254,46,17704.0,0.029509912757069944,0.4485886585922059,2910
0.019295215606689453,0.0010230541229248047,150659,150957.0,1,1,29,29,29,29,1,5,23,298.0,0.0004967213060103279,0.0019779767554543703,88
0.020985841751098633,0.006917476654052734,124912,125766.0,1,1,2353,78,78,78,0,21,57,854.0,0.001423489917224228,0.00683681311643397,2510
0.028003692626953125,0.16235589981079102,15848,117705.0,7,7,118010,5674,39718,11964,87,182,11695,101857.0,0.16978034250434215,6.4271201413427566,169699
0.02202582359313965,0.010684013366699219,90899,93556.0,1,1,5785,164,164,164,90,35,39,2657.0,0.004428820503588728,0.029230244557145842,6114
0.0215909481048584,0.025223255157470703,54601,117898.0,1,1,20061,3636,3636,3636,2133,1293,210,63297.0,0.10550660572662993,1.1592644823354883,27334
0.03200244903564453,0.0005421638488769531,11231,11301.0,3,1,5,5,5,5,1,2,2,70.0,0.00011667950141182197,0.006232748642151189,18
0.0245208740234375,0.001714944839477539,21667,23457.0,1,1,194,194,194,190,11,4,175,1790.0,0.0029836615361023048,0.08261411362902109,579
0.024030208587646484,0.1286919116973877,17412,83308.0,1,1,112500,8192,8192,8192,0,0,8192,65896.0,0.10983874892904887,3.78451642545371,128885
0.020703554153442383,0.009955883026123047,119638,129232.0,1,1,5233,610,610,610,385,41,184,9594.0,0.015991759093500285,0.08019191226867718,6454
0.021409034729003906,0.021248817443847656,89002,133959.0,1,1,16836,2539,2539,2539,2003,48,488,44957.0,0.07493657635673258,0.5051234803712276,21915
0.03355288505554199,0.010654211044311523,11432,16838.0,1,1,5785,840,840,364,159,99,106,5406.0,0.009010991209032993,0.47288313505948215,6990
0.021418094635009766,0.005455493927001953,78142,81306.0,1,1,2353,270,270,270,0,156,114,3164.0,0.005273913463814353,0.040490389291290216,2894
0.02015972137451172,0.12065362930297852,38678,99436.0,1,1,107614,5769,5769,5769,409,1336,4024,60758.0,0.10127447352542113,1.570867159625627,119153
0.03714299201965332,0.0010516643524169922,43397,43813.0,1,1,102,102,102,52,0,0,52,416.0,0.0006934096083902562,0.00958591607714819,257
0.021981239318847656,0.036786556243896484,38578,76498.0,1,1,24185,4361,4361,4361,63,99,4199,37920.0,0.06320695276480413,0.9829436466379802,32908
0.02512645721435547,0.0008916854858398438,21459,21672.0,1,1,25,25,25,25,1,0,24,213.0,0.00035503905429597253,0.009925905214595274,76
0.022792339324951172,0.1509418487548828,34073,195628.0,1,1,106250,19292,19292,19291,0,0,19291,161555.0,0.26928795500838426,4.741437501834297,144834
0.02148723602294922,0.0010979175567626953,151288,151610.0,1,1,29,29,29,29,1,5,23,322.0,0.0005367257064943811,0.002128390883612712,88
0.01988840103149414,0.0007829666137695312,151325,151629.0,1,1,29,29,29,29,1,5,23,304.0,0.0005067224061313412,0.002008921196101107,88
0.021186351776123047,0.11127066612243652,19105,95438.0,1,1,90000,9384,9384,9384,0,0,9384,76333.0,0.12723566258955152,3.9954462182674693,108769
0.020137548446655273,0.0076122283935546875,65807,71426.0,1,1,2905,382,382,382,128,159,95,5619.0,0.009366030263328965,0.08538605315543939,3670
0.029367685317993164,0.0010747909545898438,41816,43201.0,7,7,29,29,203,140,7,14,119,1385.0,0.002308587277933906,0.033121293284867036,379
0.0281369686126709,0.0721735954284668,25308,133623.0,21,21,16901,2387,50127,7866,3606,72,4188,108315.0,0.1805448599345928,4.279871977240398,74915
0.022320985794067383,0.14088225364685059,14637,94777.0,1,1,112500,9315,9315,9315,0,0,9315,80140.0,0.13358136061633447,5.475165676026508,131131
