true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
121831,106062.0,125,123,33648,3407,419061,17469,3679,5054,2637,4331,1409,359,15769.0,0.029392686591089557,0.12943339544122595,470303
6733,6208.0,1,1,12246,2111,2111,569,0,229,180,148,0,12,525.0,0.00097857571566504,0.0779741571364919,14927
5046,3878.0,1,1,36812,12103,12103,1780,824,505,451,0,0,0,1168.0,0.0021770979731366986,0.23147047166072135,50696
4752,3255.0,1,1,9908,6594,6594,1864,18,1306,540,0,0,0,1497.0,0.0027903387549534572,0.31502525252525254,18367
4838,3483.0,1,1,36812,11130,11130,1722,652,619,451,0,0,0,1355.0,0.0025256573232878654,0.28007441091360064,49665
119049,105966.0,125,123,29238,2587,318201,14049,2291,1692,5130,4205,0,731,13083.0,0.024386106834372798,0.1098959252072676,361613
5740,4296.0,1,1,36812,11130,11130,2104,1105,391,608,0,0,0,1444.0,0.0026915492065148912,0.2515679442508711,50047
5139,3488.0,1,1,90037,15915,15915,2269,336,1933,0,0,0,0,1651.0,0.0030773876315485357,0.32126872932477135,108222
2879,2565.0,1,1,33606,3190,3190,330,59,109,52,98,0,12,314.0,0.0005852814756549001,0.10906564779437304,37127
3137,2853.0,1,1,12246,1988,1988,296,0,77,111,97,0,11,284.0,0.0005293628633311836,0.090532355753905,14531
5478,5105.0,1,1,12288,2103,2103,411,0,124,134,123,24,6,373.0,0.0006952547465582094,0.06809054399415845,14803
3810,3396.0,1,1,12288,2002,2002,445,1,140,153,113,32,6,414.0,0.0007716768500672887,0.10866141732283464,14736
6620,5836.0,1,1,34656,3633,3633,872,176,311,263,80,36,6,784.0,0.0014613397353931265,0.11842900302114803,39162
135494,87110.0,125,123,36812,12103,1488669,66325,28161,18680,19484,0,0,0,48384.0,0.09018553795569009,0.35709330302448816,1591931
