true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
121831,117644.0,125,123,33648,3407,419061,17469,3679,5054,2637,4331,1409,359,4187.0,0.00780437432664671,0.03436727926389835,470303
6733,6593.0,1,1,12246,2111,2111,569,0,229,180,148,0,12,140.0,0.000260953524177344,0.020793108569731173,14927
5046,4849.0,1,1,36812,12103,12103,1780,824,505,451,0,0,0,197.0,0.0003671988875924055,0.03904082441537852,50696
4752,4434.0,1,1,9908,6594,6594,1864,18,1306,540,0,0,0,318.0,0.0005927372906313957,0.06691919191919192,18367
4838,4581.0,1,1,36812,11130,11130,1722,652,619,451,0,0,0,257.0,0.00047903611223983864,0.053121124431583296,49665
119049,115139.0,125,123,29238,2587,318201,14049,2291,1692,5130,4205,0,731,3910.0,0.007288059139524393,0.032843619014019436,361613
5740,5543.0,1,1,36812,11130,11130,2104,1105,391,608,0,0,0,197.0,0.0003671988875924055,0.0343205574912892,50047
5139,4910.0,1,1,90037,15915,15915,2269,336,1933,0,0,0,0,229.0,0.00042684540740436987,0.04456119867678537,108222
2879,2787.0,1,1,33606,3190,3190,330,59,109,52,98,0,12,92.0,0.0001714837444593975,0.03195554011809656,37127
3137,3044.0,1,1,12246,1988,1988,296,0,77,111,97,0,11,93.0,0.00017334769820352139,0.02964615875039847,14531
5478,5349.0,1,1,12288,2103,2103,411,0,124,134,123,24,6,129.0,0.00024045003299198126,0.023548740416210297,14803
3810,3675.0,1,1,12288,2002,2002,445,1,140,153,113,32,6,135.0,0.0002516337554567246,0.03543307086614173,14736
6620,6455.0,1,1,34656,3633,3633,872,176,311,263,80,36,6,165.0,0.00030755236778044114,0.024924471299093656,39162
135494,126956.0,125,123,36812,12103,1488669,66325,28161,18680,19484,0,0,0,8538.0,0.015914437067329736,0.0630138603923421,1591931
