true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
772,790.0,1,1,9386,2955,2955,415,295,28,92,0,0,0,18.0,3.3551167394229945e-05,0.023316062176165803,12757
133,138.0,38,22,5284,2968,65296,202,146,32,24,0,0,0,5.0,9.319768720619429e-06,0.03759398496240601,70820
1282,1297.0,1,1,3688,2483,2483,609,99,510,0,0,0,0,15.0,2.7959306161858287e-05,0.01170046801872075,6781
1302,1323.0,1,1,9386,2999,2999,580,274,166,140,0,0,0,21.0,3.91430286266016e-05,0.016129032258064516,12966
0,0.0,1,1,16470,2144,2144,2,1,1,0,0,0,0,0.0,0.0,0.0,18617
145,149.0,1,1,18150,2259,2259,118,48,5,65,0,0,0,4.0,7.455814976495543e-06,0.027586206896551724,20528
1565,1580.0,1,1,16470,2336,2336,311,109,17,185,0,0,0,15.0,2.7959306161858287e-05,0.009584664536741214,19118
2055,2066.0,38,28,16470,2282,63896,439,134,23,282,0,0,0,11.0,2.0503491185362745e-05,0.00535279805352798,80843
272,275.0,1,1,3156,2147,2147,150,30,61,59,0,0,0,3.0,5.5918612323716575e-06,0.011029411764705883,5454
16835,17176.0,125,123,9386,2986,367278,9685,3595,2900,3190,0,0,0,341.0,0.0006356082267462451,0.020255420255420254,386474
389,396.0,1,1,24198,3882,3882,176,40,136,0,0,0,0,7.0,1.3047676208867201e-05,0.017994858611825194,28257
1226,1245.0,38,22,24198,4125,90750,526,97,429,0,0,0,0,19.0,3.541512113835383e-05,0.015497553017944535,115512
993,1002.0,38,28,3191,1765,49420,512,24,329,159,0,0,0,9.0,1.6775583697114972e-05,0.00906344410876133,53161
1575,1597.0,1,1,24198,3932,3932,611,96,515,0,0,0,0,22.0,4.100698237072549e-05,0.013968253968253968,28742
509,519.0,1,1,9386,3018,3018,325,88,161,76,0,0,0,10.0,1.8639537441238857e-05,0.019646365422396856,12730
532,544.0,38,23,9386,3099,71277,329,123,117,89,0,0,0,12.0,2.236744492948663e-05,0.022556390977443608,81030
259,265.0,1,1,9386,3033,3033,173,40,91,42,0,0,0,6.0,1.1183722464743315e-05,0.023166023166023165,12593
387,389.0,1,1,16470,1941,1941,103,25,0,78,0,0,0,2.0,3.7279074882477715e-06,0.00516795865633075,18515
1732,1755.0,1,1,9917,3245,3245,668,286,231,151,0,0,0,23.0,4.2870936114849375e-05,0.013279445727482679,13831
746,756.0,1,1,24198,4051,4051,359,41,318,0,0,0,0,10.0,1.8639537441238857e-05,0.013404825737265416,28609
1234,1251.0,1,1,17814,2269,2269,432,264,0,168,0,0,0,17.0,3.168721365010606e-05,0.013776337115072933,20516
1234,1244.0,1,1,17814,2346,2346,447,263,0,184,0,0,0,10.0,1.8639537441238857e-05,0.008103727714748784,20608
1586,1595.0,1,1,22854,3864,3864,592,92,500,0,0,0,0,9.0,1.6775583697114972e-05,0.005674653215636823,27311
2166,2191.0,38,23,3688,2428,55844,758,151,607,0,0,0,0,25.0,4.6598843603097145e-05,0.011542012927054479,60328
26892,26948.0,125,123,754,560,68880,7648,0,594,7054,0,0,0,56.0,0.00010438140967093761,0.0020824036888293916,77407
14019,14362.0,125,114,9917,3335,380190,8939,3714,2105,3120,0,0,0,343.0,0.0006393361342344929,0.024466795063841928,399171
1721,1723.0,1,1,1644,836,836,309,21,30,258,0,0,0,2.0,3.7279074882477715e-06,0.0011621150493898896,2790
1,1.0,1,1,18150,2574,2574,8,4,0,4,0,0,0,0.0,0.0,0.0,20733
1115,1134.0,38,23,22854,3818,87814,544,61,483,0,0,0,0,19.0,3.541512113835383e-05,0.017040358744394617,111250
254,259.0,1,1,3282,1797,1797,139,3,81,55,0,0,0,5.0,9.319768720619429e-06,0.01968503937007874,5219
2628,2663.0,1,1,3688,2424,2424,953,182,771,0,0,0,0,35.0,6.5238381044336e-05,0.013318112633181126,7066
415,420.0,38,29,16470,2287,66323,272,128,3,141,0,0,0,5.0,9.319768720619429e-06,0.012048192771084338,83103
