baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.05038642883300781,0.008318185806274414,16997,20113.0,462,308,13,13,4004,1408,24,404,377,603,0,0,0,3116.0,0.005193904662846247,0.18332646937694888,5887
0.022213220596313477,0.018878459930419922,90678,97713.0,1,1,8353,1077,1077,1077,875,156,40,6,0,0,0,7035.0,0.011726289891888108,0.0775822139879574,10508
0.022663593292236328,0.005867481231689453,39443,45412.0,1,1,973,972,972,972,672,254,46,0,0,0,0,5969.0,0.009949427770388077,0.15133230230966205,2918
0.024021387100219727,0.03282928466796875,37405,40619.0,1,1,26570,1049,1049,1049,87,94,800,68,0,0,0,3214.0,0.005357255964822797,0.08592434166555274,28669
0.02196335792541504,0.0009431838989257812,150079,150131.0,1,1,17,17,17,17,6,4,3,4,0,0,0,52.0,8.667620104878203e-05,0.00034648418499590215,52
0.02298259735107422,0.015888690948486328,110574,112211.0,1,1,8257,247,247,247,209,28,3,7,0,0,0,1637.0,0.002728633483016465,0.014804565268507968,8752
0.02465081214904785,0.013481378555297852,37040,42002.0,1,1,5497,818,818,818,506,276,35,1,0,0,0,4962.0,0.008270909800078009,0.133963282937365,7134
0.024188756942749023,0.01675868034362793,22977,17526.0,1,1,288,108,108,108,0,0,0,108,0,0,0,5451.0,0.009085999459940593,0.23723723723723725,505
0.03126049041748047,0.0009419918060302734,77234,77307.0,7,7,13,13,91,42,0,7,14,21,0,0,0,73.0,0.00012168005147232862,0.000945179584120983,153
0.05280923843383789,0.0017931461334228516,1851,2213.0,54,36,17,17,612,163,15,45,27,76,0,0,0,362.0,0.0006033997073011365,0.195569962182604,846
0.02080845832824707,0.05014777183532715,38540,49726.0,1,1,34960,2724,2724,2724,99,1759,802,64,0,0,0,11186.0,0.01864538432560915,0.29024390243902437,40409
0.026926040649414062,0.014107465744018555,13753,14953.0,1,1,5401,657,657,193,152,32,0,9,0,0,0,1200.0,0.0020002200242026625,0.08725369010397731,6252
0.029991626739501953,0.0006384849548339844,22383,22395.0,1,1,3,3,3,3,1,0,1,1,0,0,0,12.0,2.0002200242026623e-05,0.0005361211633829246,10
0.021073102951049805,0.04594826698303223,38353,47664.0,1,1,29233,2326,2326,2326,72,1561,625,68,0,0,0,9311.0,0.01552004053779249,0.2427711000443251,33886
0.030218124389648438,0.0013251304626464844,21220,21531.0,7,7,17,17,119,70,21,28,7,14,0,0,0,311.0,0.0005183903562725233,0.0146559849198869,213
0.02077651023864746,0.0010101795196533203,150544,150586.0,1,1,13,13,13,13,1,5,3,4,0,0,0,42.0,7.000770084709318e-05,0.000278988202784568,40
0.04477715492248535,0.007549285888671875,13842,15067.0,378,252,9,9,2268,1006,23,0,376,607,0,0,0,1225.0,0.0020418912747068845,0.08849877185377836,3661
0.03233528137207031,0.0007898807525634766,22217,22229.0,1,1,4,4,4,4,1,2,0,1,0,0,0,12.0,2.0002200242026623e-05,0.0005401269298285097,13
0.027810335159301758,0.0006337165832519531,85856,85856.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.02518463134765625,0.007996320724487305,39242,44918.0,1,1,919,916,916,916,610,260,46,0,0,0,0,5676.0,0.009461040714478593,0.14464094592528415,2752
0.024090051651000977,0.0046422481536865234,39601,44140.0,1,1,676,674,674,674,611,30,29,4,0,0,0,4539.0,0.00756583224154657,0.11461831771924952,2025
0.02412557601928711,0.0019974708557128906,151936,152105.0,1,1,41,41,41,41,15,14,4,7,1,0,0,169.0,0.0002816976534085416,0.001112310446503791,124
0.03677201271057129,0.0011076927185058594,5233,5256.0,3,1,17,17,17,8,4,1,1,2,0,0,0,23.0,3.833755046388436e-05,0.004395184406650105,45
0.034395694732666016,0.0007865428924560547,3155,3168.0,1,1,13,13,13,6,0,3,1,2,0,0,0,13.0,2.1669050262195507e-05,0.004120443740095087,33
