true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error
122074,122753,125,947,15636,531,2012,3145,9948,0,679,0.0012529778985032542,0.005562199977063093
7023,7092,1,3701,798,106,313,120,152,107,69,0.0001273276509524662,0.009824861170439982
2774,2796,1,2618,340,0,80,111,87,62,22,4.0597222042815305e-05,0.007930785868781542
455,460,1,2786,130,0,20,34,47,29,5,9.226641373367115e-06,0.01098901098901099
4794,4855,1,3893,651,77,282,73,123,96,61,0.00011256502475507881,0.012724238631622862
5431,5459,1,3515,507,61,160,73,131,82,28,5.1669191690855846e-05,0.005155588289449457
6262,6649,1,17493,2601,434,2167,0,0,0,387,0.0007141420422986147,0.06180134142446503
123604,125612,125,4387,21615,3195,5771,6569,2732,3348,2008,0.0037054191755442334,0.016245428950519402
119674,126221,125,6594,58322,499,39328,18495,0,0,6547,0.012081364214286901,0.05470695389140498
378,381,1,4122,113,12,21,28,28,24,3,5.535984824020269e-06,0.007936507936507936
7027,7124,1,4119,872,212,294,108,150,108,97,0.00017899684264332204,0.01380389924576633
49453,50257,4750,2633,18937,0,4048,4219,5931,4739,804,0.001483643932837432,0.0162578609993327
6564,6599,1,2696,599,76,96,184,133,110,35,6.45864896135698e-05,0.005332114564290067
6013,6045,1,2685,615,0,205,184,137,89,32,5.9050504789549535e-05,0.005321802760685182
9915,10082,1,9511,1643,586,0,1057,0,0,167,0.00030816982187046167,0.016843166918809886
1192,1317,1,17493,807,115,692,0,0,0,125,0.00023066603433417787,0.10486577181208054
2167,2263,125,3515,1662,111,336,52,856,307,96,0.0001771515143686486,0.044300876788186436
10270,10496,1,9798,1778,794,0,984,0,0,226,0.0004170441900761936,0.022005842259006817
9369,9878,1,12449,3000,1514,957,529,0,0,509,0.0009392720918087723,0.05432810331945779
124981,125911,125,2795,17272,0,4356,5143,4471,3302,930,0.0017161552954462833,0.007441131051919892
2633,2665,1,3456,386,55,101,64,101,65,32,5.9050504789549535e-05,0.012153437143942271
3651,3668,1,2633,345,0,65,118,94,68,17,3.137058066944819e-05,0.0046562585592988225
3802,3854,1,4594,591,61,184,172,128,46,52,9.5957070283018e-05,0.013677012098895318
6828,6858,1,2782,596,37,88,213,150,108,30,5.535984824020269e-05,0.004393673110720563
