true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error
2142,2182,1,6594,937,20,602,315,0,0,40,7.381313098693692e-05,0.018674136321195144
81200,81719,4750,4119,22404,4924,5839,2324,5022,4295,519,0.0009577253745555066,0.006391625615763547
122039,121510,125,2643,15554,0,3435,4460,4263,3396,529,0.0009761786573022408,0.0043346798974098445
125805,125395,125,2897,16768,0,4607,4295,4546,3320,410,0.0007565845926161035,0.003259011962958547
79597,82150,4750,6222,48029,572,31108,16349,0,0,2553,0.004711123085241249,0.03207407314346018
120505,120007,125,2684,15593,0,3490,4553,4162,3388,498,0.0009189734807873647,0.004132608605452056
124647,124493,125,3433,16946,2989,1796,4295,4546,3320,154,0.00028418055429970713,0.0012354890209952908
5085,5084,1,2634,447,0,124,133,109,81,1,1.845328274673423e-06,0.00019665683382497542
119070,118857,125,3860,20440,1694,4430,6326,5516,2474,213,0.0003930549225054391,0.0017888636936255985
1805,1852,1,16881,844,82,762,0,0,0,47,8.673042890965088e-05,0.0260387811634349
185357,187624,4750,9511,60085,16769,0,43316,0,0,2267,0.00418335919868465,0.012230452586090625
5389,5620,1,11130,2357,708,1046,603,0,0,231,0.0004262708314495607,0.042865095565039896
1996,2073,1,12449,881,467,73,341,0,0,77,0.00014209027714985357,0.03857715430861723
6680,6668,1,2617,655,0,188,192,177,98,12,2.2143939296081075e-05,0.0017964071856287425
495,503,1,12103,282,101,86,95,0,0,8,1.4762626197387384e-05,0.01616161616161616
84100,83703,4750,2831,17816,1974,2198,4263,4975,4406,397,0.000732595325045349,0.004720570749108205
5249,5248,1,3295,471,70,58,150,113,80,1,1.845328274673423e-06,0.00019051247856734617
124916,124509,125,2819,16818,0,4417,4739,4308,3354,407,0.0007510486077920832,0.0032581895033462487
121787,121925,125,3701,19179,2076,6703,2660,4431,3309,138,0.0002546553019049324,0.0011331258672928966
7304,7297,1,947,452,33,97,132,190,0,7,1.2917297922713961e-05,0.0009583789704271632
77730,77138,4750,2556,16856,0,3542,4199,4784,4331,592,0.0010924343386066663,0.007616107037179982
185357,187624,4750,9511,60085,16769,0,43316,0,0,2267,0.00418335919868465,0.012230452586090625
11445,11852,1,16881,3585,691,2894,0,0,0,407,0.0007510486077920832,0.03556138051550896
81206,80584,4750,2442,17043,0,3651,4162,4708,4522,622,0.001147794186846869,0.007659532546856144
1701,1707,1,3888,267,31,70,40,80,46,6,1.1071969648040537e-05,0.003527336860670194
5763,6028,1,12126,2509,1189,736,584,0,0,265,0.0004890119927884572,0.04598299496789866
184071,194947,4750,17493,105717,17691,88026,0,0,0,10876,0.020069790315348147,0.059085896203095546
2720,2706,1,2442,327,0,84,95,89,59,14,2.5834595845427923e-05,0.005147058823529412
10034,10369,1,17493,3360,692,2668,0,0,0,335,0.0006181849720155967,0.03338648594777756
123942,123501,125,2725,15969,0,3808,4295,4546,3320,441,0.0008137897691309796,0.003558115892917655
84405,88002,125,9342,41163,20226,0,20937,0,0,3597,0.006637645804000302,0.04261595877021503
123618,122987,125,2608,15930,0,2832,5164,4580,3354,631,0.00116440214131893,0.005104434629261111
10222,10330,1,9511,1705,720,0,985,0,0,108,0.0001992954536647297,0.010565447074936412
184922,192814,125,12449,77216,34906,20791,21519,0,0,7892,0.014563330743722654,0.04267745319648284
9369,9724,1,12449,3000,1514,957,529,0,0,355,0.0006550915375090652,0.037890916853452875
2899,2898,1,9511,475,108,0,367,0,0,1,1.845328274673423e-06,0.00034494653328734045
