true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error
1732,1857,1,3245,672,289,232,151,0,0,125,0.00023066603433417787,0.07217090069284064
748,786,1,4504,360,39,321,0,0,0,38,7.012247443759008e-05,0.05080213903743316
1239,1322,1,2407,438,266,0,172,0,0,83,0.00015316224679789411,0.06698950766747377
1249,1326,1,2520,460,264,0,196,0,0,77,0.00014209027714985357,0.06164931945556445
1595,1690,1,4296,597,92,505,0,0,0,95,0.00017530618609397518,0.05956112852664577
2166,2268,38,2428,739,139,600,0,0,0,102,0.00018822348401668915,0.04709141274238227
26892,27363,125,560,7637,0,586,7051,0,0,471,0.0008691496173711822,0.01751450245426149
14019,15302,125,3335,9007,3764,2130,3113,0,0,1283,0.0023675561764060016,0.09151865325629503
1721,1744,1,836,309,21,30,258,0,0,23,4.244255031748873e-05,0.01336432306798373
1,1,1,2956,7,5,1,1,0,0,0,0.0,0.0
1117,1181,38,4320,580,67,513,0,0,0,64,0.00011810100957909907,0.05729632945389436
254,271,1,1797,139,3,81,55,0,0,17,3.137058066944819e-05,0.06692913385826772
2628,2778,1,2424,956,184,772,0,0,0,150,0.00027679924120101347,0.05707762557077625
415,452,38,2674,274,117,6,151,0,0,37,6.827714616291665e-05,0.0891566265060241
493,529,1,2387,254,115,0,139,0,0,36,6.643181788824323e-05,0.07302231237322515
505,556,38,3198,453,192,114,147,0,0,51,9.411174200834457e-05,0.100990099009901
1526,1623,1,3175,524,281,109,134,0,0,97,0.00017899684264332204,0.063564875491481
2491,2628,1,4429,936,192,744,0,0,0,137,0.00025280997363025893,0.05499799277398635
151,194,38,2254,176,84,59,33,0,0,43,7.93491158109572e-05,0.2847682119205298
1402,1436,1,2622,272,53,24,195,0,0,34,6.274116133889639e-05,0.024251069900142655
992,1059,1,4423,361,40,321,0,0,0,67,0.00012363699440311933,0.06754032258064516
