estimates,runtime,true_counts,absolute_error,normalized_error,relative_error
196218.73525144265,5.2741,192319,3899.7352514426457,0.006500273782520487,0.020277430994559278
194648.34110516604,5.5386,192396,2252.341105166037,0.003754314816573218,0.011706797985228575
196138.20221830023,4.6312,192196,3942.2022183002264,0.006571059847083557,0.0205113645356835
191507.5528126128,4.1521,192146,638.4471873872099,0.0010641957071731388,0.003322719116646768
196379.80131772743,3.313,192273,4106.801317727426,0.006845421859283564,0.021359220055480625
247558.5438797164,2.8366,241266,6292.543879716395,0.01048872689281887,0.026081353691429356
193037.68044231823,3.8246,192004,1033.680442318233,0.0017229902661263289,0.005383640144571118
196460.33435086985,2.5557,192202,4258.334350869845,0.007098004698633259,0.02215551529572973
192916.88089260465,2.6392,192212,704.8808926046477,0.0011749307300547187,0.003667205442972591
188527.8305863444,2.9752,192134,3606.169413655589,0.006010943559884236,0.018769033141742685
199278.99051085347,5.3773,192082,7196.990510853473,0.011996303778171387,0.03746832348087521
190138.4912491922,4.8718,192063,1924.508750807814,0.003207867450099201,0.010020195200573843
196983.79906629532,4.3111,192243,4740.799066295323,0.007902201019270992,0.024660450920425313
195010.7397543068,4.0039,192289,2721.7397543067927,0.004536731964360734,0.014154422532265459
116370.23289076277,2.708,111883,4487.232890762767,0.0074795442344704035,0.040106476325829366
192675.28179317748,3.8773,192183,492.2817931774771,0.0008205599168866527,0.0025615262181227115
190339.82383204816,3.8752,192192,1852.1761679518386,0.003087299882906851,0.009637113760988171
196299.26828458504,4.0708,192189,4110.268284585036,0.006851200773060096,0.021386594886205954
198513.9266960008,3.2261,192237,6276.926696000795,0.01046269538982754,0.032652021702381934
189252.6278846259,3.1502,192225,2972.372115374106,0.004954498520460761,0.015462984083101086
189615.02653376665,2.6579,192293,2677.9734662333503,0.0044637801262028,0.013926526011000662
192433.6826937503,2.7137,192133,300.6826937503065,0.0005011929541421332,0.0015649716277282221
194285.94245602528,3.4716,191995,2290.942456025281,0.003818657479031495,0.011932302695514367
192514.2157268927,3.7262,192128,386.2157268926967,0.0006437636921606322,0.002010200110825578
196742.19996686815,3.595,192159,4583.199966868153,0.007639506957212215,0.02385108148391776
193561.14515774377,2.6952,192348,1213.1451577437692,0.002022131030652987,0.006307032866178849
196379.80131772743,3.2001,192215,4164.801317727426,0.00694209916045336,0.021667410544064854
197185.13164915133,3.4893,192214,4971.131649151328,0.008286130889650075,0.02586248477817083
189453.96046748187,4.0826,192256,2802.0395325181307,0.00467057965129186,0.01457452320093069
195856.3366023019,4.677,191934,3922.33660230189,0.0065379468446560614,0.020435861297643406
198433.3936628584,3.7741,192008,6425.393662858405,0.01071016755652856,0.03346419765248534
192433.6826937503,4.5132,192137,296.6826937503065,0.0004945255540614576,0.0015441205689185659
196742.19996686815,3.9628,192222,4520.199966868153,0.007534495405941575,0.023515518342687898
192514.2157268927,4.6395,191995,519.2157268926967,0.0008654547448430939,0.002704319002540153
189776.09260005143,4.6258,192337,2560.90739994857,0.004268648551254921,0.013314689321080032
198554.193212572,4.5093,192092,6462.19321257199,0.010771506886710856,0.03364113660418961
188286.2314869172,5.1209,192106,3819.7685130827886,0.006366981223072519,0.019883650240402635
196460.33435086985,5.0966,192152,4308.334350869845,0.007181347199641703,0.02242149106368836
196540.8673840122,5.4044,192275,4265.8673840122065,0.007110561135078536,0.022186282064814492
196299.26828458504,4.8276,192335,3964.268284585036,0.006607840670115439,0.020611268279746464
188044.63238749004,5.0669,192407,4362.367612509959,0.007271412542896317,0.02267260345262885
196259.00176801384,4.4573,192189,4070.001768013841,0.006784082529101269,0.021177079687254945
195493.93795316116,4.5783,192116,3377.937953161163,0.005630515945355927,0.017582803895360943
195614.73750287472,4.5896,192232,3382.737502874719,0.0056385160748927705,0.01759716125761954
188487.5640697732,4.9513,192119,3631.435930226813,0.006053059053540578,0.01890201349281858
197064.3320994377,4.3528,192339,4725.332099437714,0.007876419905252435,0.024567727291073125
192473.9492103215,4.8597,192099,374.9492103215016,0.0006249840987867025,0.0019518540456821827
193118.21347546065,5.8491,192333,785.2134754606523,0.0013088330974084688,0.004082572805814147
195735.5370525883,6.9611,192014,3721.5370525883045,0.0062032441111660695,0.019381592241129838
196017.40266858667,6.7126,192385,3632.40266858667,0.006054670461395204,0.01888090375334184
195775.8035691595,5.1056,192156,3619.8035691594996,0.006033669652260915,0.01883783784612242
195051.006270878,4.7308,192270,2781.006270877988,0.00463552035870277,0.014464067565808435
199278.99051085347,4.6012,192142,7136.990510853473,0.011896292776961255,0.03714435423204439
199117.9244445687,5.7232,192193,6924.924444568693,0.011542810450097332,0.036031096057445866
190339.82383204816,5.4621,192300,1960.1761679518386,0.0032673196850850905,0.010193323806301812
188205.6984537748,5.2559,192080,3874.301546225208,0.006457879610465831,0.020170249615916326
196057.6691851579,6.0942,192094,3963.6691851578944,0.006606842061223225,0.0206340082728138
192836.34785946223,5.6624,192497,339.34785946222837,0.0005656419863888834,0.0017628734965336
199359.52354399583,5.5153,192090,7269.523543995834,0.012117205465927643,0.03784436224684176
192554.4822434639,7.1808,192301,253.4822434638918,0.00042251688263024234,0.0013181535377553512
195051.006270878,5.6578,192270,2781.006270877988,0.00463552035870277,0.014464067565808435
188487.5640697732,8.1934,192295,3807.435930226813,0.006346424657090302,0.019799973635439366
195574.47098630352,5.2457,192172,3402.470986303524,0.005671408832144076,0.0177053420181063
196983.79906629532,5.5041,192294,4689.799066295323,0.00781719166824238,0.024388691619578996
190178.75776576335,8.4848,192068,1889.242234236648,0.0031490834562412666,0.009836319606788472
199238.72399428228,7.8318,192288,6950.723994282278,0.01158581443005777,0.03614746627081398
196420.06783429865,7.9227,192296,4124.06783429865,0.006874202552778556,0.021446456682919304
194285.94245602528,8.4335,192106,2179.942456025281,0.003633637126792749,0.011347602136452173
195614.73750287472,7.7914,192117,3497.737502874719,0.005830203827212192,0.018206288370496725
196299.26828458504,8.6325,192291,4008.268284585036,0.00668118207100287,0.020844804408864877
198554.193212572,6.1047,192025,6529.19321257199,0.01088318583806217,0.0340017873327535
195292.6053703052,9.1865,192144,3148.6053703051875,0.005248252924997063,0.016386696281461756
195936.86963544428,6.919,192227,3709.86963544428,0.006183796276664233,0.01929942014100142
189776.09260005143,8.3093,192145,2368.90739994857,0.003948613347382495,0.012328748601049051
198151.52804686,6.2333,192402,5749.52804686001,0.00958360094087018,0.029882891273791387
197386.4642320073,6.123,192144,5242.4642320073035,0.008738401610856034,0.02728403817973657
198151.52804686,5.2307,192111,6040.52804686001,0.010068654296739326,0.03144290564756839
196540.8673840122,4.9076,192418,4122.8673840122065,0.006872201582194385,0.021426620087581238
92089.52339833212,4.3089,88859,3230.523398332123,0.005384797991665955,0.036355612806042416
192473.9492103215,6.6024,191985,488.9492103215016,0.0008150050010859555,0.0025468094399119807
193440.34560803015,5.8695,192281,1159.3456080301548,0.001932455250127772,0.006029434047202557
198997.1248948551,5.1157,192217,6780.124894855107,0.011301451317736797,0.03527328433413854
195735.5370525883,4.454,192226,3509.5370525883045,0.0058498719068902656,0.018257348395057403
196299.26828458504,4.0273,192365,3934.268284585036,0.0065578351695103725,0.020452100353936714
195775.8035691595,5.547,192156,3619.8035691594996,0.006033669652260915,0.01883783784612242
195655.0040194459,3.9906,192102,3553.0040194459143,0.005922324821473553,0.018495403584793048
190178.75776576335,4.0501,192163,1984.242234236648,0.0033074342081573106,0.01032582877159832
194849.673688022,2.9822,192234,2615.6736880220124,0.004359935739634713,0.013606717271773008
236606.05137235133,2.6955,230543,6063.051372351329,0.010106197302288799,0.026299004404173314
191749.15191204,3.4114,191990,240.84808796001016,0.00040145764027378037,0.0012544824624199707
248726.27286028105,2.2164,242474,6252.272860281053,0.010421601143260847,0.025785333109038713
174273.48372014132,1.9481,167344,6929.4837201413175,0.011550410078677516,0.04140861769852112
188447.297553202,1.998,192081,3633.702446798008,0.006056836996732987,0.018917552734513086
195010.7397543068,1.6839,192251,2759.7397543067927,0.004600072265127152,0.014354878540589087
196339.53480115623,2.2761,192325,4014.534801156231,0.006691627414275955,0.02087370233280245
198070.9950137176,2.31,192137,5933.995013717591,0.00989107970829723,0.03088418687560226
196540.8673840122,2.1966,192335,4205.8673840122065,0.007010550133868403,0.021867405225321476
196661.6669337258,2.4667,192119,4542.666933725792,0.007571944470101364,0.023645068596681182
195977.13615201548,2.1033,192340,3637.136152015475,0.006062560468343976,0.018909931122051967
194688.60762173723,1.6677,192294,2394.607621737232,0.003991451762589271,0.012452846275688436
196097.93570172903,1.5236,192347,3750.9357017290313,0.006252247250079227,0.01950087966918658
196460.33435086985,2.032,192202,4258.334350869845,0.007098004698633259,0.02215551529572973
189977.4251829074,3.1186,192090,2112.5748170925945,0.00352134537647907,0.010997838602179158
197265.6646822937,2.4988,192221,5044.664682293689,0.008408699427426499,0.026244087182429023
196097.93570172903,2.9665,192210,3887.9357017290313,0.0064806057028423646,0.020227541239940854
194004.0768400269,4.4616,192284,1720.0768400268862,0.0028671101154908478,0.008945501653943574
199359.52354399583,4.4382,192229,7130.523543995834,0.011885513313124168,0.037093901253171135
188608.3636194868,5.0502,192134,3525.6363805131987,0.00587670707196658,0.018349882792807096
195655.0040194459,4.0533,192255,3400.0040194459143,0.005667296768387713,0.0176848665545547
191829.6849451824,3.6033,192260,430.31505481759086,0.0007172706578016763,0.0022381933570040096
188487.5640697732,4.1578,192233,3745.435930226813,0.006243079955839831,0.01948383435844425
250981.197788268,2.9029,244665,6316.197788268008,0.010528154410765198,0.025815698151627767
196097.93570172903,3.4949,192010,4087.9357017290313,0.006813975706876142,0.02129022291406193
193601.41167431496,3.9623,192140,1461.4116743149643,0.0024359540788069425,0.007605973114994089
194084.6098731693,5.2898,192288,1796.6098731693055,0.002994679203327875,0.00934332809727755
188366.7645200596,6.2566,192300,3933.2354799403984,0.006556113639067628,0.020453642641395726
195775.8035691595,4.4062,192155,3620.8035691594996,0.0060353365022810836,0.01884314001279956
196621.4004171546,4.5483,192049,4572.400417154597,0.0076215057275543585,0.02380850937601652
196540.8673840122,3.7624,192245,4295.8673840122065,0.007160566635683602,0.022345795126074573
191789.4184286112,6.1476,192202,412.58157138878596,0.0006877116005907083,0.0021466039447497216
188084.89890406124,7.4135,192010,3925.101095938764,0.006542554840930442,0.02044217017831761
196862.99951658177,5.0351,192139,4723.999516581767,0.007874198689492122,0.02458636464529204
194608.07458859484,5.887,192065,2543.0745885948418,0.004238923929290292,0.013240697621090994
194084.6098731693,5.6702,192347,1737.6098731693055,0.002896335052137911,0.009033724847121637
193963.8103234557,4.254,192189,1774.810323455691,0.0029583426234480645,0.009234713347047391
192836.34785946223,2.851,192112,724.3478594622284,0.0012073792441539043,0.0037704456747221847
196460.33435086985,2.3431,191859,4601.334350869845,0.007669734255551186,0.023982895516341925
192916.88089260465,4.1436,192212,704.8808926046477,0.0011749307300547187,0.003667205442972591
192192.08359432317,4.9786,192192,0.08359432316501625,1.3933919925361165e-07,4.3495214767012283e-07
252632.12496768695,4.167,246647,5985.124967686948,0.009976305673102289,0.02426595485729382
196621.4004171546,5.7178,192374,4247.400417154597,0.007079779470999471,0.022078869375043386
199238.72399428228,7.4288,192379,6859.723994282278,0.011434131078222401,0.03565734302747326
195816.0700857307,7.8839,192368,3448.0700857306947,0.005747415691943938,0.017924343371718242
196057.6691851579,6.877,192081,3976.6691851578944,0.006628511111485421,0.02070308455889908
195252.338853734,7.9636,192032,3220.3388537339924,0.00536782188329715,0.01676980322932632
190219.02428233455,7.9779,192328,2108.975717665453,0.0035153462175263497,0.010965515773394685
191064.62113032967,9.1046,191978,913.3788696703268,0.001522465587331818,0.004757726769058573
196621.4004171546,8.4268,192338,4283.400417154597,0.007139786071725551,0.022270172390035235
280134.1557858262,4.8564,273699,6435.1557858262095,0.010726439551394336,0.023511798676013464
195655.0040194459,4.5965,192105,3550.0040194459143,0.0059173242714130455,0.018479498292318857
95955.10898916684,3.3206,92341,3614.108989166838,0.006024177641485293,0.03913872482609933
196540.8673840122,2.9035,192079,4461.8673840122065,0.0074372637390316375,0.023229334721714536
194728.87413830843,3.6028,192256,2472.874138308427,0.004121910307314516,0.01286240293311224
198554.193212572,4.091,192173,6381.19321257199,0.010636492035077176,0.033205461810826654
194527.54155545245,3.4439,192077,2450.5415554524516,0.0040846852411306105,0.012758120729980433
198433.3936628584,3.0987,192175,6258.393662858405,0.010431803603160357,0.032566117668054666
189977.4251829074,2.5675,192374,2396.5748170925945,0.003994730782207034,0.012457893567179528
196379.80131772743,2.5299,192273,4106.801317727426,0.006845421859283564,0.021359220055480625
192514.2157268927,4.7475,191991,523.2157268926967,0.0008721221449237694,0.002725209655102045
196339.53480115623,3.0858,192295,4044.534801156231,0.006741632914881022,0.02103296914197577
196339.53480115623,4.0499,192162,4177.534801156231,0.006963323967563484,0.021739650925553602
189655.29305033784,3.9295,192284,2628.7069496621552,0.0043816602320624525,0.013670960400564557
196943.53254972416,3.3775,192320,4623.532549724157,0.007706735323759209,0.024040830645404312
190138.4912491922,3.4476,192425,2286.508750807814,0.0038112671574003377,0.011882597119957459
189011.02878519872,2.4563,192086,3074.971214801277,0.005125515831410249,0.01600830469061398
195856.3366023019,1.9507,192333,3523.33660230189,0.005872873686608677,0.018318939559523795
92290.85598118808,1.9445,89099,3191.855981188084,0.005320345206619535,0.03582370151391243
196903.26603315296,2.0105,192233,4670.266033152962,0.0077846330315550745,0.024294819480281546
197748.8628811481,3.1362,192213,5535.8628811480885,0.009227453155093875,0.028800668431105538
278000.0304075513,2.3647,271446,6554.030407551327,0.010924585717014415,0.024144877462004697
194487.2750388813,2.4982,192030,2457.2750388812856,0.004095908948119769,0.012796308071037262
188326.4980034884,2.4287,192353,4026.5019965115935,0.006711574934095407,0.02093287859566315
196581.1339005834,2.1768,192166,4415.133900583402,0.007359366031235772,0.022975624723329837
193480.61212460135,2.4918,192183,1297.61212460135,0.00216292479606315,0.006751961019452033
196500.600867441,3.6918,192198,4302.600867441011,0.007171790342672713,0.022386293652592697
198232.0610800024,3.1048,192078,6154.061080002401,0.010257896835322553,0.03203938545800352
185749.44094293192,2.4105,178775,6974.44094293192,0.011625347026392771,0.039012395149947816
197104.5986160089,2.2828,192293,4811.598616008909,0.00802021325013903,0.025022224501198218
191467.2862960416,2.515,192227,759.713703958405,0.0012663288027656458,0.0039521695909440656
195493.93795316116,3.4459,192126,3367.937953161163,0.005613847445154239,0.017529839548843795
192514.2157268927,3.3695,192128,386.2157268926967,0.0006437636921606322,0.002010200110825578
197990.46198057523,3.2483,192121,5869.46198057523,0.009783512820702327,0.03055086107492273
199641.38915999423,2.9889,192119,7522.389159994229,0.012538694523054584,0.03915484236329686
199681.65567656545,2.7251,192091,7590.655676565453,0.01265248456757819,0.039515936074909566
195775.8035691595,2.6742,192245,3530.8035691594996,0.005885320000465884,0.018366165929722487
198715.25927885677,3.0421,192155,6560.259278856771,0.010934968311275524,0.034140455771938125
199198.45747771108,2.3111,192204,6994.457477711083,0.011658711587793129,0.03639080080389109
196138.20221830023,2.0931,192426,3712.2022183002264,0.006187684342444713,0.01929158335308236
293381.839737759,1.8667,286495,6886.839737758972,0.011479328955783422,0.02403825455159417
196299.26828458504,3.1761,191997,4302.268284585036,0.0071712359769325225,0.02240799744050707
196017.40266858667,4.0975,192125,3892.40266858667,0.0064880514666391135,0.02025974063024942
196983.79906629532,4.2899,192125,4858.799066295323,0.008098889321650921,0.025289780436150024
196500.600867441,4.2538,191984,4516.600867441011,0.007528496246988855,0.02352592334486734
194285.94245602528,3.6005,192256,2029.942456025281,0.003383609623767416,0.010558538906589553
188487.5640697732,3.7304,192188,3700.435930226813,0.006168071704932231,0.019254250682804404
194970.4732377356,3.4984,192117,2853.4732377355976,0.0047563119238709555,0.01485278886166033
195936.86963544428,2.4201,192227,3709.86963544428,0.006183796276664233,0.01929942014100142
195695.2705360171,1.9023,192288,3407.2705360171094,0.005679408961680967,0.017719621276507683
193239.0130251742,2.2431,191980,1259.0130251742085,0.0020985858864045184,0.006558042635556873
197104.5986160089,1.9187,192209,4895.598616008909,0.008160228651833216,0.02547018410172733
189735.82608348023,3.0495,192372,2636.173916519765,0.004394106545919659,0.013703521908176685
197265.6646822937,3.4167,192202,5063.664682293689,0.008440369577809708,0.02634553585443278
195332.87188687635,3.3815,192231,3101.8718868763535,0.005170355217201148,0.016136168915920707
205520.3005793887,2.9238,199214,6306.300579388713,0.010511657247945129,0.031655910625702575
197305.9311988649,2.8136,192239,5066.931198864913,0.008445814371022334,0.02635745711778002
196299.26828458504,2.8718,192056,4243.268284585036,0.007072891825742558,0.022093911591332924
135174.69612951088,2.4236,129603,5571.696129510878,0.009287181805850106,0.04299048733062412
191265.95371318565,3.1629,191987,721.0462868143513,0.0012018760177192013,0.0037557037029296325
