estimates,runtime,true_sums,absolute_error,normalized_error,relative_error
43127634.05094092,1.5013,44389721,1262086.9490590766,2.1037096564940088,0.02843196399137261
83761493.34383385,2.9902,88380899,4619405.656166151,7.6998564111488115,0.052267013669618265
59850594.19314234,4.3665,60168053,317458.8068576604,0.5291562186134815,0.005276202087803313
41954092.98833029,2.5844,44990776,3036683.0116697103,5.061695139248168,0.06749567981823008
45034638.27768318,1.8478,45671094,636455.7223168164,1.0608762335803879,0.013935635575465226
38433469.80049841,0.743,38869902,436432.19950158894,0.7274670205415745,0.011228024179263147
46208179.34029381,1.2539,44546347,1661832.3402938098,2.7700252699360424,0.037305692884173194
45841447.75822799,1.6722,45388232,453215.7582279891,0.7554426957431802,0.009985314215984201
36013041.358863994,0.7916,39325339,3312297.6411360055,5.521103389932902,0.08422807597757785
87942233.3793842,1.3616,91048383,3106149.6206157953,5.177485557771013,0.034115373807525995
44741253.01203053,1.6428,44854647,113393.987969473,0.1890107711339464,0.0025280321115774915
44301175.11355154,4.7783,45397036,1095860.8864484578,1.8266357406789044,0.024139480966300482
0.0,2.1774,0,0.0,0.0,0.0
45621408.8089885,3.9338,45616538,4870.808988496661,0.008118908060714447,0.00010677726109983755
46574910.92235963,2.3766,44583053,1991857.9223596305,3.320128418058704,0.044677467968818343
43714404.58224623,4.0036,45231768,1517363.417753771,2.5292172434864018,0.033546409633020996
38433469.80049841,1.0558,38869902,436432.19950158894,0.7274670205415745,0.011228024179263147
36013041.358863994,0.6705,39325339,3312297.6411360055,5.521103389932902,0.08422807597757785
45254677.22692268,2.2993,44664572,590105.2269226834,0.9836169093978394,0.013211930630896528
43127634.05094092,0.7185,43989694,862059.9490590766,1.43692464347591,0.019596861688991895
38433469.80049841,0.5802,38869902,436432.19950158894,0.7274670205415745,0.011228024179263147
34326076.08136122,0.6004,35169017,842940.9186387807,1.4050560872342304,0.023968282043219484
43127634.05094092,3.613,45448968,2321333.9490590766,3.86931553980784,0.051075614061447484
0.0,1.3902,0,0.0,0.0,0.0
38433469.80049841,1.0315,38869902,436432.19950158894,0.7274670205415745,0.011228024179263147
36013041.358863994,1.9289,39325339,3312297.6411360055,5.521103389932902,0.08422807597757785
43714404.58224623,8.3964,45551676,1837271.417753771,3.0624558997385893,0.0403337830589103
43054287.73452775,7.5161,45175947,2121659.265472248,3.5364877894439193,0.04696435617547205
38433469.80049841,2.2943,38869902,436432.19950158894,0.7274670205415745,0.011228024179263147
1246887.3790238164,2.7191,1039938,206949.37902381644,0.3449535765997867,0.19900165108286882
44521214.06279104,4.435,45195150,673935.937208958,1.1233501305292881,0.01491168714361957
43274326.68376725,7.8537,45369120,2094793.3162327483,3.4917062814122026,0.04617222719401982
