estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_sums,absolute_error,normalized_error,relative_error
75893833.0,0.284699,-1,7,7,4,4,28,28,7,14,0,7,0,75611245,282588.0,0.4710318134994849,0.0037373805972907865
94171504.0,6.5289,-1,1,1,937,932,932,932,668,254,6,4,0,79034514,15136990.0,25.231092086796213,0.19152379427549843
40391789.0,0.1577,-1,1,1,13,13,13,13,1,5,3,4,0,40283466,108323.0,0.18055819473475415,0.0026890188644641453
99650706.0,52.9272,-1,1,1,107198,3454,3454,3454,392,1412,1602,48,0,64970908,34679798.0,57.806021995752864,0.5337742547787696
278229507.0,0.2144,-1,1,1,17,17,17,17,6,4,3,4,0,277966174,263333.0,0.43893661636113307,0.0009473562779620803
234057277.0,2.3268,-1,1,1,4849,101,101,101,60,21,15,5,0,232595308,1461969.0,2.436883057136285,0.006285462129786384
189277453.0,5.4103,-1,1,1,4849,799,799,799,623,121,49,6,0,176061753,13215700.0,22.028589811545938,0.07506286728838829
42033766.0,59.0868,3,1,1,340,153,153,153,0,0,0,153,0,48763260,6729494.0,11.217057209626391,0.13800336564864613
39842115.0,7.396901,-1,462,308,13,13,4004,1408,24,404,377,603,0,31643374,8198741.0,13.666071601209467,0.2590981922471352
185514445.0,9.1249,-1,1,1,8353,1077,1077,1077,875,156,40,6,0,167608581,17905864.0,29.846389769541315,0.10683142768209462
103744096.0,3.819,-1,1,1,973,972,972,972,672,254,46,0,0,88384997,15359099.0,25.601314477925904,0.17377495639899157
87185206.0,13.9955,-1,1,1,26570,1049,1049,1049,87,94,800,68,0,79440679,7744527.0,12.908964986148476,0.09748817731026695
277607906.0,0.204099,-1,1,1,17,17,17,17,6,4,3,4,0,277417767,190139.0,0.31693319598489167,0.0006853886903357563
209035421.0,4.5279,-1,1,1,8257,247,247,247,209,28,3,7,0,204870188,4165233.0,6.9428187100581065,0.020331083993538387
