estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_mins,absolute_error,normalized_error,relative_error
0.0,3.8332,-1,1,1,5401,657,657,193,152,32,0,9,0,0,0.0,0.0,0.0
0.0,0.1026,-1,1,1,3,3,3,3,1,0,1,1,0,0,0.0,0.0,0.0
0.0,18.8158,-1,1,1,29233,2326,2326,2326,72,1561,625,68,0,0,0.0,0.0,0.0
0.0,0.455,-1,7,7,17,17,119,70,21,28,7,14,0,0,0.0,0.0,0.0
0.0,0.1175,-1,1,1,13,13,13,13,1,5,3,4,0,0,0.0,0.0,0.0
960.0,2.9951,-1,378,252,9,9,2268,1005,22,0,376,607,0,27,933.0,0.0015551710688175699,34.55555555555556
0.0,0.1792,-1,1,1,4,4,4,4,1,2,0,1,0,0,0.0,0.0,0.0
0.0,0.0302,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,3.5251,-1,1,1,919,916,916,916,610,260,46,0,0,0,0.0,0.0,0.0
0.0,2.4447,-1,1,1,676,674,674,674,611,30,29,4,0,0,0.0,0.0,0.0
0.0,0.2362,-1,1,1,41,41,41,41,15,14,4,7,1,0,0.0,0.0,0.0
0.0,0.1193,-1,3,1,17,17,17,8,4,1,1,2,0,0,0.0,0.0,0.0
0.0,0.0775,-1,1,1,13,13,13,6,0,3,1,2,0,0,0.0,0.0,0.0
0.0,0.2011,-1,1,1,42,42,42,42,6,5,15,16,0,0,0.0,0.0,0.0
1039.0,9.0316,-1,7,7,16585,223,1561,1366,0,63,1226,77,0,0,1039.0,0.0017318571709554718,0.0
0.0,2.3963,-1,1,1,2617,397,397,397,129,198,62,8,0,0,0.0,0.0,0.0
0.0,0.1373,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,0.0387,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,0.0606,-1,1,1,9,9,9,9,1,0,4,4,0,0,0.0,0.0,0.0
0.0,3.4058,-1,1,1,5497,450,450,450,259,120,68,3,0,0,0.0,0.0,0.0
432.0,55.4031,3,1,1,425,221,221,221,0,0,0,221,0,0,432.0,0.0007200792087129585,0.0
0.0,0.092,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,0.0567,-1,21,7,1,1,7,7,0,0,0,0,7,0,0.0,0.0,0.0
