estimates,runtime,case,true_counts,absolute_error,normalized_error,relative_error
137809,20.921158,1,106867,30942,0.0386775,0.28953746245332984
891680,6.016265,1,51359,840321,1.05040125,16.361708756011605
144537,16.781483,1,126522,18015,0.02251875,0.14238630435813535
165127,26.673139,1,7072,158055,0.19756875,22.349406108597286
147334,7.568517,1,28686,118648,0.14831,4.136094262009342
180148,16.605735,1,20764,159384,0.19923,7.675977653631285
295584,26.906726,2,49007,246577,0.30822125,5.031464892770421
147147,17.290765,1,18083,129064,0.16133,7.137311286843997
149039,18.980918,1,178458,29419,0.03677375,0.16485111342724898
411500,11.797176,2,200265,211235,0.26404375,1.0547774199186077
593580,16.411442,2,195004,398576,0.49822,2.0439375602551744
931045,0.125606,1,5251,925794,1.1572425,176.30813178442202
143529,14.787777,1,52594,90935,0.11366875,1.728999505647032
261461,8.540667,2,201137,60324,0.075405,0.2999149833198268
214668,19.568302,2,166789,47879,0.05984875,0.28706329554107285
167698,24.463073,1,20478,147220,0.184025,7.189178630725657
141548,22.068006,1,121505,20043,0.02505375,0.16495617464301882
161843,18.904666,1,79804,82039,0.10254875,1.0280061149817052
931045,2.651842,1,14936,916109,1.14513625,61.33563202999464
164547,12.18239,1,27990,136557,0.17069625,4.878778135048232
149697,33.212148,1,22260,127437,0.15929625,5.724932614555256
144834,16.818083,1,159237,14403,0.01800375,0.09045008383729912
150586,18.293195,1,122386,28200,0.03525,0.2304185119212982
147839,19.281937,1,15346,132493,0.16561625,8.633715626221816
213025,22.321122,2,104410,108615,0.13576875,1.0402739201225937
168089,25.021126,1,49194,118895,0.14861875,2.4168597796479245
891680,0.151204,1,58203,833477,1.04184625,14.320172499699328
173782,20.957873,1,49311,124471,0.15558875,2.524203524568555
137135,10.7074,1,28594,108541,0.13567625,3.795936210393789
143206,37.062975,1,43865,99341,0.12417625,2.2646985067821728
349403,12.464109,2,201490,147913,0.18489125,0.7340959849124026
440853,12.29608,2,201656,239197,0.29899625,1.186163565676201
172007,21.922939,1,24464,147543,0.18442875,6.031025179856115
146184,18.162612,1,87857,58327,0.07290875,0.6638856323343615
136963,11.454467,1,55718,81245,0.10155625,1.4581463799849241
170234,19.771057,1,37332,132902,0.1661275,3.5600021429336763
186000,34.550828,1,18775,167225,0.20903125,8.906790945406126
268220,4.006545,2,208284,59936,0.07492,0.28776094179101613
249648,27.67226,2,126973,122675,0.15334375,0.9661502839186283
139298,14.075324,1,114870,24428,0.030535,0.21265778706363717
144018,17.556183,1,52696,91322,0.1141525,1.7329968119022316
170126,37.257056,1,16556,153570,0.1919625,9.27579125392607
891680,2.952038,1,51429,840251,1.05031375,16.33807773824107
142869,15.583796,1,52166,90703,0.11337875,1.738737875244412
149736,10.831764,1,28836,120900,0.151125,4.192675821889305
163017,25.828998,1,49256,113761,0.14220125,2.309586649342212
418743,10.291993,2,200788,217955,0.27244375,1.0854981373388848
148196,16.635864,1,168137,19941,0.02492625,0.11859971332901147
138043,21.674531,1,126903,11140,0.013925,0.08778358273642073
164874,32.937707,1,33080,131794,0.1647425,3.98409915356711
136945,11.215857,1,22456,114489,0.14311125,5.098370146063413
144039,19.771539,1,120953,23086,0.0288575,0.19086752705596388
152546,10.958499,1,52416,100130,0.1251625,1.9102945665445665
162921,23.455664,1,48986,113935,0.14241875,2.3258686155228023
338713,9.127835,2,200534,138179,0.17272375,0.6890552225557761
150945,17.929632,1,147610,3335,0.00416875,0.022593320235756387
142506,21.663246,1,49366,93140,0.116425,1.8867236559575415
174333,35.623332,1,29425,144908,0.181135,4.924655904842821
891680,6.529832,1,103084,788596,0.985745,7.650032982810135
