estimates,runtime,case,true_counts,absolute_error,normalized_error,relative_error
310002,21.904823,1,240217,69785,0.03876944444444445,0.2905081655336633
2006279,6.406787,1,115242,1891037,1.0505761111111112,16.40926919005224
324587,17.404356,1,284167,40420,0.022455555555555555,0.14224030235741658
371628,26.938746,1,15744,355884,0.19771333333333332,22.604420731707318
331245,7.911725,1,64345,266900,0.14827777777777779,4.147952443857331
405336,17.613727,1,46652,358684,0.19926888888888888,7.688502100660208
657281,27.498719,2,109723,547558,0.3041988888888889,4.990366650565515
331164,18.25888,1,40886,290278,0.16126555555555555,7.099691826052927
335340,19.305546,1,402362,67022,0.037234444444444445,0.16657139590716818
927404,12.608516,2,451543,475861,0.2643672222222222,1.0538553360366565
1343291,16.982175,2,439417,903874,0.5021522222222222,2.056984595498126
2094852,0.144925,1,11841,2083011,1.1572283333333333,175.9151254117051
322719,15.477886,1,118159,204560,0.11364444444444445,1.7312265675911271
579759,9.01782,2,452274,127485,0.070825,0.28187558869181073
483881,21.466886,2,375968,107913,0.05995166666666667,0.28702708741169464
377207,26.784333,1,45744,331463,0.18414611111111112,7.246043196922001
318767,22.453745,1,273856,44911,0.024950555555555556,0.1639949462491236
364047,19.550931,1,179173,184874,0.10270777777777777,1.0318184101399206
2094852,2.811144,1,33557,2061295,1.1451638888888889,61.4266769973478
370245,12.547821,1,62691,307554,0.17086333333333334,4.905871656218596
336645,33.108613,1,50138,286507,0.15917055555555557,5.714368343372293
325547,17.74633,1,357176,31629,0.017571666666666666,0.08855298228324411
338648,19.352966,1,274650,63998,0.035554444444444444,0.23301656653923175
332873,20.499894,1,34534,298339,0.16574388888888889,8.638993455724792
486321,23.386806,2,235196,251125,0.13951388888888888,1.0677264919471419
378446,25.428573,1,110865,267581,0.1486561111111111,2.413575068777342
2006279,0.144339,1,130452,1875827,1.042126111111111,14.379442246956735
391227,22.343839,1,110416,280811,0.15600611111111112,2.5432093174902186
308570,10.952919,1,64665,243905,0.13550277777777778,3.771824016082889
321985,38.81525,1,98115,223870,0.12437222222222222,2.281710237986037
779850,12.882251,2,452445,327405,0.18189166666666667,0.7236349169512316
989398,12.989207,2,452516,536882,0.2982677777777778,1.186437606626064
386871,22.892394,1,54792,332079,0.18448833333333334,6.060720543144985
328695,19.053701,1,198181,130514,0.07250777777777778,0.6585595995579798
308131,12.150213,1,125273,182858,0.10158777777777778,1.4596760674686484
383126,20.615829,1,83373,299753,0.16652944444444445,3.5953246254782725
