estimates,runtime,case,true_counts,absolute_error,normalized_error,relative_error
68093,5020.870925,2,119901,51808,0.057564444444444446,0.4320898074244585
89256,1460.142845,2,57802,31454,0.03494888888888889,0.5441680218677555
55917,3834.417235,2,142070,86153,0.09572555555555555,0.6064123319490392
13352,5990.61987,2,7931,5421,0.006023333333333334,0.6835203631320136
15706,1805.179407,2,32273,16567,0.018407777777777776,0.5133393238930375
12195,4148.096186,2,23303,11108,0.012342222222222221,0.47667682272668754
110740,5775.202327,2,55188,55552,0.06172444444444444,1.006595636732623
5819,4033.599196,2,20328,14509,0.01612111111111111,0.7137445887445888
81499,4046.026975,2,200497,118998,0.13222,0.5935151149393757
136717,2538.621323,2,225050,88333,0.09814777777777778,0.39250388802488334
206819,3581.010475,2,219458,12639,0.014043333333333333,0.05759188546327771
5077,99.220792,1,5879,802,0.0008911111111111111,0.1364177581221296
35759,3309.857484,2,59142,23383,0.02598111111111111,0.395370464306246
97779,1805.725236,2,226066,128287,0.14254111111111112,0.567475869878708
84062,4186.031856,2,187445,103383,0.11487,0.5515377844167623
13988,5648.529761,2,23061,9073,0.010081111111111112,0.3934348033476432
68872,4336.272414,2,136523,67651,0.07516777777777778,0.49552822601319924
73868,4315.521896,2,89813,15945,0.017716666666666665,0.1775355460790754
21490,894.371853,2,16724,4766,0.005295555555555556,0.2849796699354222
27755,2861.450435,2,31456,3701,0.004112222222222222,0.11765640895218718
38404,7116.868244,2,24950,13454,0.014948888888888888,0.5392384769539078
66107,3698.031814,2,178843,112736,0.12526222222222222,0.630362944034712
61660,4307.820901,2,137664,76004,0.08444888888888889,0.5520978614597861
10539,4290.478932,2,17258,6719,0.007465555555555555,0.38932668907173484
83368,4859.989053,2,117306,33938,0.03770888888888889,0.2893117146608017
97617,5318.740443,2,55330,42287,0.04698555555555556,0.7642689318633653
65832,105.872246,2,65427,405,0.00045,0.006190105002521895
74517,4656.925927,2,55468,19049,0.021165555555555556,0.343423235018389
19869,2145.881232,2,32191,12322,0.01369111111111111,0.3827777950358796
44485,7628.626052,2,49307,4822,0.005357777777777778,0.09779544486584055
125063,2474.069774,2,226484,101421,0.11269,0.4478064675650377
148149,2486.4763,2,226682,78533,0.08725888888888889,0.3464456816156554
26181,4921.932193,2,27522,1341,0.00149,0.0487246566383257
57101,3900.485273,2,98548,41447,0.046052222222222224,0.4205767747696554
19819,2523.633959,2,62509,42690,0.047433333333333334,0.6829416564014782
17387,4764.595828,2,42004,24617,0.027352222222222222,0.5860632320731359
46671,7657.012782,2,21074,25597,0.02844111111111111,1.2146246559741862
122412,1033.024009,2,234554,112142,0.12460222222222223,0.47810738678513265
96059,5506.158528,2,142731,46672,0.05185777777777778,0.32699273458463823
48751,3161.648726,2,128936,80185,0.08909444444444445,0.6218976856735124
55556,3934.578112,2,59349,3793,0.004214444444444444,0.06391009115570608
34407,7884.789615,2,18589,15818,0.017575555555555556,0.8509333476787347
61900,938.388333,2,58057,3843,0.00427,0.066193568389686
42636,3698.578018,2,58566,15930,0.0177,0.272000819588157
23815,2561.420052,2,32452,8637,0.009596666666666667,0.2661469246887711
84729,5493.765041,2,55370,29359,0.03262111111111111,0.530232978147011
144825,2179.940008,2,225589,80764,0.08973777777777778,0.3580139102527162
67672,3611.920137,2,189017,121345,0.13482777777777777,0.6419792928678373
78613,4517.119454,2,142543,63930,0.07103333333333334,0.4484962432388823
48992,7260.079438,2,37207,11785,0.013094444444444445,0.3167414733786653
733,2438.281653,1,25274,24541,0.027267777777777776,0.9709978634169503
62174,4176.470071,2,135769,73595,0.08177222222222222,0.5420604114341271
30690,2639.113015,2,58955,28265,0.031405555555555555,0.47943346620303623
71377,4887.487539,2,55033,16344,0.01816,0.2969854450965784
124201,2273.999256,2,225217,101016,0.11224,0.4485274202213865
