estimates,runtime,case,true_counts,absolute_error,normalized_error,relative_error
361538,22.075608,1,280309,81229,0.03868047619047619,0.289783774334752
2340659,6.308938,1,134601,2206058,1.0505038095238095,16.389610775551446
378627,17.403349,1,331541,47086,0.02242190476190476,0.14202165041427758
433571,26.90413,1,18477,415094,0.19766380952380952,22.465443524381662
386365,7.760724,1,75236,311129,0.14815666666666666,4.1353740230740605
472827,17.060629,1,54555,418272,0.19917714285714286,7.66697827880121
772858,27.416322,2,128010,644848,0.30707047619047617,5.037481446761972
386301,17.947487,1,47796,338505,0.16119285714285714,7.082287220687924
391213,19.132854,1,469566,78353,0.03731095238095238,0.16686259226604994
1089523,12.414592,2,526922,562601,0.2679052380952381,1.0677121091926318
1568118,16.371976,2,512596,1055522,0.5026295238095239,2.059169404365231
2443993,0.151665,1,13829,2430164,1.1572209523809525,175.72955383614143
376554,15.746929,1,137593,238961,0.11379095238095238,1.7367235251793331
672874,8.78608,2,527641,145233,0.06915857142857143,0.275249648909012
570616,20.41845,2,438748,131868,0.06279428571428572,0.30055521620611375
440133,25.153366,1,53489,386644,0.1841161904761905,7.22847688309746
371921,21.983589,1,319808,52113,0.024815714285714285,0.1629508955373224
424688,19.499496,1,208923,215765,0.1027452380952381,1.032748907492234
2443993,2.819001,1,39213,2404780,1.1451333333333333,61.32609083722235
431906,12.526789,1,73263,358643,0.17078238095238096,4.8952813835087285
392767,33.04541,1,58527,334240,0.15916190476190475,5.710868488048251
379855,17.577096,1,416722,36867,0.017555714285714286,0.08846905130998603
395053,18.988615,1,320111,74942,0.035686666666666665,0.23411254221192024
388431,20.203897,1,40294,348137,0.16577952380952382,8.639921576413363
561874,22.985769,2,274786,287088,0.13670857142857143,1.0447693841753218
441578,25.729452,1,129296,312282,0.14870571428571427,2.4152487315926248
2340659,0.153714,1,152110,2188549,1.0421661904761905,14.387936361843403
456436,21.958953,1,128740,327696,0.1560457142857143,2.545409352182694
359922,11.344667,1,75370,284552,0.1355009523809524,3.7754013533236037
375659,37.827789,1,114589,261070,0.12431904761904762,2.2783164178062467
915033,13.240459,2,528092,386941,0.18425761904761906,0.7327151329692554
1159917,13.069256,2,527833,632084,0.30099238095238096,1.1975075450000283
451264,22.83156,1,63816,387448,0.18449904761904762,6.071330073962643
383288,19.317573,1,231313,151975,0.07236904761904762,0.6570101983027327
359411,12.053814,1,146172,213239,0.10154238095238095,1.4588224831020988
446993,20.304646,1,97272,349721,0.16653380952380953,3.59528949749157
488098,35.799573,1,49250,438848,0.2089752380952381,8.9106192893401
712795,4.090327,2,547407,165388,0.07875619047619048,0.3021298595012486
662280,28.500675,2,333202,329078,0.15670380952380952,0.9876231235106632
365408,14.922395,1,301050,64358,0.030646666666666666,0.2137784421192493
377815,18.424237,1,137510,240305,0.11443095238095238,1.7475456330448695
446664,38.396336,1,43425,403239,0.19201857142857143,9.28587219343696
2340659,3.115676,1,135129,2205530,1.050252380952381,16.32166300350036
375194,16.389096,1,136973,238221,0.11343857142857143,1.7391821745891527
392818,11.702374,1,75567,317251,0.15107190476190477,4.1982743790278825
428213,26.846827,1,128946,299267,0.14250809523809524,2.320870752097777
1110778,10.555109,2,528000,582778,0.27751333333333333,1.103746212121212
388448,17.132555,1,440136,51688,0.024613333333333334,0.11743642874020757
362512,22.040068,1,332758,29754,0.014168571428571428,0.08941633259005043
432690,33.718502,1,86439,346251,0.16488142857142857,4.005726581751293
359269,11.646138,1,58669,300600,0.14314285714285716,5.123659854437608
377643,20.213227,1,316805,60838,0.02897047619047619,0.19203611054118463
399914,11.634675,1,137257,262657,0.1250747619047619,1.913614606176734
427485,22.999778,1,127753,299732,0.1427295238095238,2.3461836512645498
891880,9.2447,2,527644,364236,0.1734457142857143,0.6903063429130247
396032,18.757908,1,387729,8303,0.0039538095238095235,0.021414441530037732
373892,22.182071,1,129676,244216,0.11629333333333333,1.883278324439372
457809,36.059234,1,77572,380237,0.18106523809523808,4.90173000567215
2340659,6.687295,1,269903,2070756,0.9860742857142857,7.672222983812703
378279,8.423905,1,6664,371615,0.17695952380952382,55.76455582232893
447588,23.140111,1,128564,319024,0.15191619047619048,2.481441149933107
378110,19.40788,1,48189,329921,0.1571052380952381,6.846396480524601
662259,2.413744,1,77945,584314,0.2782447619047619,7.496491115530182
443588,22.545002,1,128976,314612,0.14981523809523808,2.4393065376504155
370703,9.267776,1,75057,295646,0.14078380952380953,3.938953062339289
720858,9.255801,2,526523,194335,0.09254047619047619,0.36909118879896985
384349,6.690436,1,48372,335977,0.15998904761904761,6.9456917224840815
465607,3.501041,1,77981,387626,0.1845838095238095,4.970774932355317
617819,0.185184,1,299866,317953,0.15140619047619047,1.0603169415672333
540038,10.920228,1,136882,403156,0.19197904761904763,2.945281337210152
380377,11.802494,1,137680,242697,0.11557,1.7627614758861128
1693365,19.042434,2,513024,1180341,0.5620671428571429,2.3007520116017965
409013,6.463457,1,18543,390470,0.18593809523809524,21.05754192956911
389689,8.536528,1,11164,378525,0.18025,33.90585811537083
1777645,18.744697,2,512429,1265216,0.6024838095238095,2.4690562009566204
444390,16.066535,1,44437,399953,0.19045380952380953,9.000450075387628
373439,15.942015,1,469626,96187,0.045803333333333335,0.20481617286947487
840098,9.250051,2,526761,313337,0.14920809523809525,0.5948371272740389
619672,0.289545,1,300616,319056,0.15193142857142858,1.0613407137344653
1027061,10.82307,2,527703,499358,0.2377895238095238,0.9462860737952977
379539,24.326206,1,264616,114923,0.0547252380952381,0.4343010248813375
439558,36.86466,1,109903,329655,0.15697857142857144,2.9995086576344594
2340659,0.128549,1,151824,2188835,1.042302380952381,14.416923543049847
2164007,0.234643,1,1051084,1112923,0.5299633333333333,1.0588335470809183
389478,8.32497,1,52087,337391,0.16066238095238095,6.4774511874364045
947718,10.705042,2,528127,419591,0.1998052380952381,0.7944888256044474
386146,8.519696,1,30640,355506,0.16928857142857143,11.602676240208877
385246,16.245925,1,48861,336385,0.16018333333333334,6.884529583921737
413360,21.026826,1,274327,139033,0.06620619047619047,0.5068148596383149
374980,15.231841,1,137373,237607,0.11314619047619047,1.729648475319022
400181,13.075117,1,46292,353889,0.16851857142857143,7.644711829257755
440153,41.931155,1,120527,319626,0.15220285714285714,2.651903722817294
430622,18.442393,1,163889,266733,0.1270157142857143,1.6275222864255685
2443993,5.606095,1,7146,2436847,1.1604033333333332,341.0085362440526
366698,8.877927,1,15662,351036,0.16716,22.41322947260886
1070339,11.550381,2,527719,542620,0.25839047619047617,1.0282366183518121
394450,8.18368,1,5766,388684,0.18508761904761906,67.40964273326396
376503,20.88161,1,289900,86603,0.04123952380952381,0.29873404622283545
392595,6.469473,1,74992,317603,0.1512395238095238,4.235158416897803
406264,16.205447,1,309642,96622,0.04601047619047619,0.3120442317256703
379796,8.896379,1,49434,330362,0.1573152380952381,6.682890318404337
